lote,nivel,slot,japones,espanol,lecturas_kanji
2026-09-18 · 1M,N5,2099,今夜は何を食べませんか。,¿Qué no vas a comer esta noche?,今夜 (こんや) | 何 (なに) | 食 (た)
2026-09-18 · 1M,N5,2100,駅の前にスーパーがあるので、帰りに買い物できます。,"Como hay un supermercado frente a la estación, puedo comprar al volver.",駅 (えき) | 前 (まえ) | 帰 (かえ) | 買 (か) | 物 (もの)
2026-09-18 · 1M,N5,2101,バスで行きます。,Voy en autobús.,行 (い)
2026-09-18 · 1M,N5,2102,京都は寺が多いです。,Kioto tiene muchos templos.,京都 (きょうと) | 寺 (てら) | 多 (おお)
2026-09-18 · 1M,N5,2103,薬を飲んでいますか。,¿Estás tomando algún medicamento?,薬 (くすり) | 飲 (の)
2026-09-18 · 1M,N5,2104,毎朝バスに乗って図書館へ日本語を勉強しに行きます。,Cada mañana cojo el autobús y voy a la biblioteca a estudiar japonés.,毎朝 (まいあさ) | 乗って (のって) | 図書館 (としょかん) | 日本語 (にほんご) | 勉強 (べんきょう) | 行きます (いきます)
2026-09-18 · 1M,N5,2105,工場で働きません。,No trabajo en la fábrica.,工場 (こうじょう) | 働きません (はたらきません)
2026-09-18 · 1M,N5,2106,彼女と話すと元気になります。,"Cuando hablo con ella, me animo.",彼女 (かのじょ) | 話す (はなす) | 元気 (げんき) | なります (なります)
2026-09-18 · 1M,N5,2107,土曜日から日曜日まで友だちと映画を見ます。,Desde el sábado hasta el domingo veo películas con amigos.,土曜日 (どようび) | 日曜日 (にちようび) | 友 (とも) | 映画 (えいが) | 見ます (みます)
2026-09-18 · 1M,N4,2166,雨がやんだら、店から人が出てきた。,"Cuando dejó de llover, la gente salió de la tienda.",雨 (あめ) | 店 (みせ) | 人 (ひと) | 出てきた (でてきた)
2026-09-18 · 1M,N4,2167,健康につきましては、まだ問題ありません。,"En cuanto a la salud, todavía no hay problemas.",健康 (けんこう) | 問題 (もんだい)
2026-09-18 · 1M,N4,2168,昨日は勉強しすぎて、夜まで頭がぼんやりしました。,Ayer estudié demasiado y hasta la noche tuve la cabeza embotada.,昨日 (きのう) | 勉強 (べんきょう) | 夜 (よる) | 頭 (あたま)
2026-09-18 · 1M,N4,2169,雨ですから、行きませんか。,"Como llueve, ¿no vamos?",雨 (あめ) | 行きませんか (いきませんか)
2026-09-18 · 1M,N4,2170,信頼を得るには時間がかかる。,Ganar confianza lleva tiempo.,信頼 (しんらい) | 得る (える) | 時間 (じかん)
2026-09-18 · 1M,N4,2171,一人で行ったわけではなく、家族とともに行きました。,"No fui solo, sino con mi familia.",一人 (ひとり) | 行った (いった) | 家族 (かぞく) | 行きました (いきました)
2026-09-18 · 1M,N4,2172,森のなかは静かですが、暗くなると道が見えにくいです。,"Dentro del bosque está tranquilo, pero cuando se hace de noche se ve peor el camino.",森 (もり) | 静か (しずか) | 暗く (くらく) | 道 (みち) | 見えにくい (みえにくい)
2026-09-18 · 1M,N4,2173,ありがと、助かった。,"Gracias, me ha sido muy útil.",助かった (たすかった)
2026-09-18 · 1M,N4,2174,まぁ、あとでもういちどみればいいよ。,"Bueno, luego puedes volver a mirarlo.",
2026-09-18 · 1M,N4,2176,田中くん、あしたの発表でこの写真をみんなに見せてくれる？,"Tanaka-kun, ¿podrías enseñar esta foto a todos en la presentación de mañana?",田中 (たなか) | 明日 (あした) | 発表 (はっぴょう) | 写真 (しゃしん) | 見 (み)
2026-09-18 · 1M,N4,2177,いいえ、こわがるよ。,"No, le tiene miedo.",
2026-09-18 · 1M,N4,2178,つい食べすぎたので、夕飯は軽めにします。,"Como me he pasado comiendo, cenaré algo ligero.",食べすぎた (たべすぎた) | 夕飯 (ゆうはん) | 軽め (かるめ)
2026-09-18 · 1M,N4,2179,夕食のあと、家族で対戦ゲームをしました。,"Después de cenar, jugamos en familia a un juego competitivo.",夕食 (ゆうしょく) | 家族 (かぞく) | 対戦 (たいせん)
2026-09-18 · 1M,N4,2180,商品の記載がないので、店員に確認しました。,"Como no había información escrita del producto, le pregunté al dependiente.",商品の (しょうひんの) | 記載 (きさい) | 店員 (てんいん) | 確認 (かくにん)
2026-09-18 · 1M,N4,2181,検事は電車で来ますか。,¿Viene el fiscal en tren?,検事 (けんじ) | 電車 (でんしゃ) | 来ます (きます)
2026-09-18 · 1M,N4,2182,旅行先で安い下着を一枚買いました。,En el lugar al que viajé compré una prenda de ropa interior barata.,旅行先 (りょこうさき) | 安い (やすい) | 下着 (したぎ) | 一枚 (いちまい) | 買いました (かいました)
2026-09-18 · 1M,N4,2183,これは応用じゃなくて基本の運動です。,"Esto no es un ejercicio avanzado, sino un ejercicio básico.",応用 (おうよう) | 基本 (きほん) | 運動 (うんどう)
2026-09-18 · 1M,N4,2184,条件を全部比べたうえで、今はこの判断が妥当だと私は考えます。,"Tras comparar todas las condiciones, ahora creo que esta decisión es razonable.",条件 (じょうけん) | 全部 (ぜんぶ) | 比べた (くらべた) | 判断 (はんだん) | 妥当 (だとう) | 今 (いま) | 私 (わたし) | 考えます (かんがえます)
2026-09-18 · 1M,N4,2185,ウィリアムは今日も残業です。,William hace horas extra hoy también.,今日 (きょう) | 残業 (ざんぎょう)
2026-09-18 · 1M,N4,2186,母は主婦です。,Mi madre es ama de casa.,母 (はは) | 主婦 (しゅふ)
2026-09-18 · 1M,N4,2187,どの大陸がいちばん広いですか。,¿Qué continente es el más grande?,大陸 (たいりく) | 広い (ひろい)
2026-09-18 · 1M,N4,2188,山で花を見ていたら、きれいな蝶に気がつきました。,"Mientras miraba flores en la montaña, me fijé en una mariposa bonita.",山 (やま) | 花 (はな) | 見ていたら (みていたら) | 蝶 (ちょう) | 気がつきました (きがつきました)
2026-09-18 · 1M,N4,2189,その問題はもう解消しました。,Ese problema ya se resolvió.,問題 (もんだい) | 解消しました (かいしょうしました)
2026-09-18 · 1M,N4,2190,財務が苦手なので、決算書を見るのに時間がかかります。,"Como se me dan mal las finanzas, tardo en revisar los estados financieros.",財務 (ざいむ) | 苦手 (にがて) | 決算書 (けっさんしょ) | 見 (み) | 時間 (じかん)
2026-09-18 · 1M,N4,2191,駅で昔の友だちにばったり出会いました。,Me encontré por casualidad con un amigo de antes en la estación.,駅 (えき) | 昔 (むかし) | 友 (とも) | 出会いました (であいました)
2026-09-18 · 1M,N4,2192,この町は水が豊かで、昔から農業がさかんですし、祭りも多いです。,"Este pueblo tiene mucha agua, la agricultura es próspera desde hace tiempo y, además, hay muchas fiestas.",町 (まち) | 水 (みず) | 豊 (ゆた) | 昔 (むかし) | 農業 (のうぎょう) | 祭り (まつり) | 多い (おおい)
2026-09-18 · 1M,N4,2193,宇宙は本当に神秘ですか。,¿De verdad el universo es un misterio?,宇宙 (うちゅう) | 本当 (ほんとう) | 神秘 (しんぴ)
2026-09-18 · 1M,N4,2194,今月の手当で洗濯機を買いました。,Compré una lavadora con el plus de este mes.,今月 (こんげつ) | 手当 (てあて) | 洗濯機 (せんたくき) | 買 (か)
2026-09-18 · 1M,N4,2195,料理ではなく、視線のほうが気になりました。,"No fue la comida, sino las miradas lo que me molestó.",料理 (りょうり) | 視線 (しせん) | 気 (き)
2026-09-18 · 1M,N4,2196,練習ではうまくいっても、本番では緊張して失敗しました。,"Aunque en los ensayos salió bien, en la actuación me puse nervioso y fallé.",練習 (れんしゅう) | 本番 (ほんばん) | 緊張 (きんちょう) | 失敗 (しっぱい)
2026-09-18 · 1M,N4,2197,この路線では野生の鹿を見かけます。,En esta línea se ven ciervos salvajes.,路線 (ろせん) | 野生 (やせい) | 鹿 (しか) | 見 (み)
2026-09-18 · 1M,N4,2198,予約サイトへの移行が順調です。,La migración al sitio de reservas va bien.,予約 (よやく) | 移行 (いこう) | 順調 (じゅんちょう)
2026-09-18 · 1M,N4,2199,足元が冷えていませんか。,¿No se le están enfriando los pies?,足元 (あしもと) | 冷えて (ひえて)
2026-09-18 · 1M,N4,2200,今日は図書館で参考書が読み放題なので、気になるところを何度も確認しました。,"Hoy, en la biblioteca, como podía leer los manuales cuanto quisiera, revisé varias veces los puntos que me preocupaban.",今日 (きょう) | 図書館 (としょかん) | 参考書 (さんこうしょ) | 読み放題 (よみほうだい) | 気になる (きになる) | 何度 (なんど) | 確認しました (かくにんしました)
2026-09-18 · 1M,N4,2201,まずは私の担当ではありません。,"Para empezar, no es mi responsabilidad.",私 (わたし) | 担当 (たんとう)
2026-09-18 · 1M,N4,2202,会員名簿を見たので、彼の名前はすぐ分かりました。,"Como vi el registro de socios, enseguida supe su nombre.",会員名簿 (かいいんめいぼ) | 見 (み) | 彼 (かれ) | 名前 (なまえ) | 分か (わか)
2026-09-18 · 1M,N4,2203,この曲はベースがよく聞こえます。,En esta canción se oye bien el bajo.,曲 (きょく) | 聞 (き)
2026-09-18 · 1M,N4,2204,山道が急だったので、私たちはゆっくり上りました。,"Como el sendero de la montaña era empinado, subimos despacio.",山道 (やまみち) | 急 (きゅう) | 私 (わたし) | 上 (のぼ)
2026-09-18 · 1M,N4,2205,貨物はいつ届きますか。,¿Cuándo llega la carga?,貨物 (かもつ) | 届 (とど)
2026-09-18 · 1M,N4,2206,今日はこのアプリのインタビューをします。,Hoy haré una entrevista sobre esta aplicación.,今日 (きょう)
2026-09-18 · 1M,N4,2207,いいえ、問題は値段ではなく性能です。,"No, el problema no es el precio, sino el rendimiento.",問題 (もんだい) | 値段 (ねだん) | 性能 (せいのう)
2026-09-18 · 1M,N4,2208,デザインはもうできていますが、仕上げには時間がかかります。,"Aunque el diseño ya está listo, el acabado final llevará tiempo.",仕上げ (しあげ) | 時間 (じかん)
2026-09-18 · 1M,N4,2209,苦情が一件ありました。,Hubo una queja.,苦情 (くじょう) | 一件 (いっけん)
2026-09-18 · 1M,N4,2210,うちの同期もこのマンションに住んでいます。,Mi compañero de promoción también vive en este edificio.,同期 (どうき) | 住んでいます (すんでいます)
2026-09-18 · 1M,N4,2211,この店は多様な料理を出しますか。,¿Este local sirve platos variados?,店 (みせ) | 多様 (たよう) | 料理 (りょうり) | 出します (だします)
2026-09-18 · 1M,N4,2212,原告は店の返品窓口で返金を求めました。,El demandante pidió el reembolso en la ventanilla de devoluciones de la tienda.,原告 (げんこく) | 店 (みせ) | 返品 (へんぴん) | 窓口 (まどぐち) | 返金 (へんきん) | 求めました (もとめました)
2026-09-18 · 1M,N4,2213,このバスは身長制限がない。,Este autobús no tiene límite de estatura.,身長 (しんちょう) | 制限 (せいげん)
2026-09-18 · 1M,N4,2214,普段は電車で行きますが、旅行のときはバスを使います。,"Normalmente voy en tren, pero cuando viajo uso autobús.",普段 (ふだん) | 電車 (でんしゃ) | 行きます (いきます) | 旅行 (りょこう) | 使います (つかいます)
2026-09-18 · 1M,N4,2215,毎日のケアが大切です。,El cuidado diario es importante.,毎日 (まいにち) | 大切 (たいせつ)
2026-09-18 · 1M,N4,2216,授業では農民の暮らしと収入の変化を調べました。,En clase investigué la vida de los campesinos y los cambios en sus ingresos.,授業 (じゅぎょう) | 農民 (のうみん) | 暮らし (くらし) | 収入 (しゅうにゅう) | 変化 (へんか) | 調べました (しらべました)
2026-09-18 · 1M,N4,2217,高齢でもできますか。,¿Se puede hacer incluso siendo mayor?,高齢 (こうれい)
2026-09-18 · 1M,N4,2218,私は人の徳を大切にします。,Valoro la virtud de las personas.,私 (わたし) | 人 (ひと) | 徳 (とく) | 大切 (たいせつ) | 私 (わたし)
2026-09-18 · 1M,N4,2219,これは土産じゃなくて、私の忘れ物です。,"Esto no es un souvenir, sino algo que me he dejado.",土産 (みやげ) | 私 (わたし) | 忘れ物 (わすれもの)
2026-09-18 · 1M,N4,2220,森を守るには水が不可欠ですが、開発も必要です。,"Para proteger el bosque, el agua es esencial, pero también hace falta desarrollo.",森 (もり) | 守る (まもる) | 水 (みず) | 不可欠 (ふかけつ) | 開発 (かいはつ) | 必要 (ひつよう)
2026-09-18 · 1M,N4,2221,彼は堂々と話します。,Él habla con aplomo.,彼 (かれ) | 堂々 (どうどう) | 話 (はな)
2026-09-18 · 1M,N4,2222,買い物の前に株価も少し確認しました。,"Antes de ir de compras, también comprobé un poco las cotizaciones bursátiles.",買い物 (かいもの) | 前 (まえ) | 株価 (かぶか) | 確認 (かくにん) | 少し (すこし)
2026-09-18 · 1M,N4,2223,この古いメモ、まだ解読できますか。,¿Puedes descifrar todavía esta nota antigua?,古い (ふるい) | 解読 (かいどく)
2026-09-18 · 1M,N4,2224,文化祭の写真を出力して、あとで会場でみんなに配りました。,Imprimí las fotos del festival cultural y luego se las repartí a todos en el recinto.,文化祭 (ぶんかさい) | 写真 (しゃしん) | 出力 (しゅつりょく) | 会場 (かいじょう) | 配りました (くばりました)
2026-09-18 · 1M,N4,2225,私は現金を所持していません。,No llevo efectivo.,私 (わたし) | 現金 (げんきん) | 所持 (しょじ)
2026-09-18 · 1M,N4,2226,雨が降っても、母はすぐやってくる。,"Aunque llueva, mi madre viene enseguida.",雨 (あめ) | 降って (ふって) | 母 (はは)
2026-09-18 · 1M,N4,2227,その古い腕時計は、専門家に鑑定された。,Ese reloj de pulsera antiguo fue tasado por un especialista.,古い (ふるい) | 腕時計 (うでどけい) | 専門家 (せんもんか) | 鑑定された (かんていされた)
2026-09-18 · 1M,N4,2228,店で値札を見ていると、すると急に全品の安売りが始まりました。,"En la tienda, al mirar las etiquetas, entonces empezó de repente la rebaja de todos los artículos.",店 (みせ) | 値札 (ねふだ) | 見ていると (みていると) | 急に (きゅうに) | 全品 (ぜんぴん) | 安売り (やすうり) | 始まりました (はじまりました)
2026-09-18 · 1M,N4,2229,次に乗る電車はどれですか。,¿Cuál es el tren que voy a coger a continuación?,次に (つぎに) | 乗る (のる) | 電車 (でんしゃ)
2026-09-18 · 1M,N4,2230,旅行の募集を見て、すぐ申し込みました。,Vi la convocatoria del viaje y me apunté enseguida.,旅行 (りょこう) | 募集 (ぼしゅう) | 見 (み) | 申 (もう) | 込 (こ)
2026-09-18 · 1M,N4,2231,あれは栄光ではなく、努力の結果です。,"Eso no es gloria, sino el resultado del esfuerzo.",栄光 (えいこう) | 努力 (どりょく) | 結果 (けっか)
2026-09-18 · 1M,N4,2232,この講座では、勉強時間を三十分と定めるので、予定を組みやすいです。,"En este curso, se fija el tiempo de estudio en treinta minutos, así que es fácil organizarse.",講座 (こうざ) | 勉強 (べんきょう) | 時間 (じかん) | 三十分 (さんじゅっぷん) | 定 (さだ) | 予定 (よてい) | 組 (く)
2026-09-18 · 1M,N4,2233,経理では分子を確認します。,"En contabilidad, comprobamos el numerador.",経理 (けいり) | 分子 (ぶんし) | 確認 (かくにん)
2026-09-18 · 1M,N4,2234,昨日彼は不正がばれて、村から追放されたことをすぐ知った。,Ayer supo enseguida que habían descubierto su fraude y lo habían expulsado del pueblo.,昨日 (きのう) | 彼 (かれ) | 不正 (ふせい) | 村 (むら) | 追放 (ついほう) | 知った (しった)
2026-09-18 · 1M,N4,2235,この橋を渡ると、遊園地へ歩いて行けますよね？,"Si cruzas este puente, puedes ir andando al parque de atracciones, ¿verdad?",橋 (はし) | 渡る (わたる) | 遊園地 (ゆうえんち) | 歩いて (あるいて) | 行けます (いけます)
2026-09-18 · 1M,N4,2236,私は森で見た謎の光の実在を、友だちに話しました。,Le conté a un amigo la existencia real de una luz misteriosa que vi en el bosque.,私 (わたし) | 森 (もり) | 見た (みた) | 謎 (なぞ) | 光 (ひかり) | 実在 (じつざい) | 友 (とも) | 話しました (はなしました)
2026-09-18 · 1M,N4,2237,そんなに複雑じゃないよ。,No es tan complicado.,複雑 (ふくざつ)
2026-09-18 · 1M,N4,2238,時間がないので、今は聴取を後回しにします。,"Como no tengo tiempo, dejo la escucha para después.",時間 (じかん) | 今 (いま) | 聴取 (ちょうしゅ) | 後回し (あとまわし)
2026-09-18 · 1M,N4,2239,個別の事情は後で確認します。,Luego confirmaré las circunstancias de cada caso.,個別 (こべつ) | 事情 (じじょう) | 後 (あと) | 確認 (かくにん)
2026-09-18 · 1M,N4,2240,文化の現場では、この劇の成功で賃金の見直しを求める声が強まりました。,"En el ámbito cultural, el éxito de esta obra ha reforzado las voces que piden revisar los salarios.",文化 (ぶんか) | 現場 (げんば) | 劇 (げき) | 成功 (せいこう) | 賃金 (ちんぎん) | 見直し (みなおし) | 求める (もとめる) | 声 (こえ) | 強まりました (つよまりました)
2026-09-18 · 1M,N4,2241,これは新規の申込みですか。,¿Es una solicitud nueva?,新規 (しんき) | 申込み (もうしこみ)
2026-09-18 · 1M,N4,2242,毎日の塩分摂取を少しずつ減らします。,Reduciré poco a poco mi ingesta diaria de sal.,毎日 (まいにち) | 塩分 (えんぶん) | 摂取 (せっしゅ) | 少しずつ (すこしずつ) | 減らします (へらします)
2026-09-18 · 1M,N4,2243,その客は逮捕されず、店から出されました。,Ese cliente no fue arrestado; solo lo echaron del local.,その客 (そのきゃく) | 逮捕 (たいほ) | 店 (みせ) | 出されました (だされました)
2026-09-18 · 1M,N4,2244,このアルバムは作曲がいいので、少し高くても買います。,"Como la composición de este álbum es buena, aunque sea un poco caro lo compraré.",作曲 (さっきょく) | 少し (すこし) | 高くても (たかくても) | 買います (かいます)
2026-09-18 · 1M,N4,2245,駅では係員の指示に従います。,Sigo las indicaciones del personal en la estación.,駅 (えき) | 係員 (かかりいん) | 指示 (しじ) | 従います (したがいます)
2026-09-19 · 1.5M,N5,2108,森の空気は朝になるととても気持ちいいです。,El aire del bosque es muy agradable por la mañana.,森 (もり) | 空気 (くうき) | 朝 (あさ) | 気 (き) | 持 (も)
2026-09-19 · 1.5M,N5,2109,ここでも使えますか。,¿También se puede usar aquí?,使 (つか)
2026-09-19 · 1.5M,N5,2110,このアプリは旅行中でも使えますか。,¿Esta aplicación también se puede usar durante el viaje?,旅 (たび) | 行 (こう) | 中 (ちゅう) | 使 (つか)
2026-09-19 · 1.5M,N5,2111,この町には駅がありません。,En esta ciudad no hay estación.,町 (まち) | 駅 (えき)
2026-09-19 · 1.5M,N5,2112,日本のお祭りは楽しいですが、人が多いです。,"Los festivales japoneses son divertidos, pero hay mucha gente.",日本 (にほん) | 祭 (まつり) | 楽 (たの) | 人 (ひと) | 多 (おお)
2026-09-19 · 1.5M,N5,2113,この店は便利だ。,Esta tienda es práctica.,店 (みせ) | 便 (べん) | 利 (り)
2026-09-19 · 1.5M,N5,2114,母は窓を開けて、空気を入れました。,Mi madre abrió la ventana y dejó entrar el aire.,母 (はは) | 窓 (まど) | 開 (あ) | 空気 (くうき) | 入 (い)
2026-09-19 · 1.5M,N5,2115,塩を少し入れてくださいませんか。,¿Podría echar un poco de sal?,塩 (しお) | 少 (すこ) | 入 (い)
2026-09-19 · 1.5M,N5,2116,この店で服を試着してもいいですか。,¿Puedo probarme ropa en esta tienda?,店 (みせ) | 服 (ふく) | 試 (し) | 着 (ちゃく)
2026-09-19 · 1.5M,N5,2117,ここで降りてはいけない。,No se puede bajar aquí.,降 (お)
2026-09-19 · 1.5M,N5,2118,切符を買わないと電車に乗れません。,"Si no compras el billete, no puedes subir al tren.",切符 (きっぷ) | 買 (か) | 電車 (でんしゃ) | 乗 (の)
2026-09-19 · 1.5M,N5,2119,昨日、スマホの見すぎで目が疲れました。,Ayer se me cansaron los ojos por mirar demasiado el móvil.,昨日 (きのう) | 見 (み) | 目 (め) | 疲 (つか)
2026-09-19 · 1.5M,N5,2120,毎晩漢字を練習して、もっと早く読めるようになりたい。,Quiero practicar kanji cada noche para poder leer más rápido.,毎晩 (まいばん) | 漢字 (かんじ) | 練習 (れんしゅう) | 早く (はやく) | 読 (よ)
2026-09-19 · 1.5M,N5,2121,一緒に仕事をしましょうか。,¿Trabajamos juntos?,一緒 (いっしょ) | 仕事 (しごと)
2026-09-19 · 1.5M,N5,2122,今夜、一緒に晩ご飯を食べませんか。,¿Cenamos juntos esta noche?,今夜 (こんや) | 一緒 (いっしょ) | 晩ご飯 (ばんごはん) | 食 (た)
2026-09-19 · 1.5M,N5,2123,映画よりゲームのほうが楽しいです。,Los videojuegos son más divertidos que el cine.,映画 (えいが) | 楽 (たの)
