target	level	topic	ruby	spanish	note
苺	N4	comida	ケーキの[上|うえ]に、[苺|いちご]が[六|むっ]つ[並|なら]んでいます。	Sobre el pastel hay seis fresas colocadas en fila.	並んでいる describe la disposición ordenada de las fresas.
湯気	N3	comida	[鍋|なべ]のふたを[開|あ]けたら、[湯気|ゆげ]で[眼鏡|めがね]が[曇|くも]りました。	Al levantar la tapa de la olla, se me empañaron las gafas con el vapor.	湯気 es vapor de agua; 曇る se refiere aquí al vaho sobre las gafas.
匂い	N4	comida	[焦|こ]げた[匂|にお]いがしたので、[慌|あわ]ててオーブンを[開|あ]けました。	Olía a quemado, así que abrí el horno precipitadamente.	匂いがする expresa percibir un olor; 焦げた especifica olor a quemado.
苦い	N5	comida	このコーヒーは[苦|にが]いので、[砂糖|さとう]を[少|すこ]し[入|い]れます。	Este café está amargo, así que le voy a poner un poco de azúcar.	苦い describe el sabor amargo; no significa que esté fuerte por sí solo.
酸っぱい	N5	comida	このみかんは[甘|あま]くなくて、[少|すこ]し[酸|す]っぱいです。	Esta mandarina no está dulce; está un poco ácida.	酸っぱい expresa sabor ácido o agrio.
濃い	N4	comida	スープの[味|あじ]が[濃|こ]すぎたので、お[湯|ゆ]を[足|た]して[薄|うす]めました。	La sopa tenía un sabor demasiado concentrado, así que añadí agua caliente para rebajarla.	濃い y 薄める se refieren a la concentración; no obligan a interpretar que hubiera demasiada sal.
柔らかい	N4	comida	[昨日|きのう][焼|や]いたパンなのに、まだ[柔|やわ]らかくておいしいです。	Aunque es pan que horneé ayer, todavía está tierno y rico.	なのに introduce un resultado contrario a lo esperado.
ぬるい	N4	comida	お[茶|ちゃ]がぬるくなってしまったので、[熱|あつ]いものを[入|い]れ[直|なお]しました。	El té se había quedado tibio, así que preparé otro caliente.	ぬるい es tibio, no frío; 入れ直す significa volver a prepararlo.
領収書	N4	trabajo	[会社|かいしゃ]に[出|だ]すので、[領収書|りょうしゅうしょ]に[会社|かいしゃ]の[名前|なまえ]を[書|か]いてください。	Es para entregarlo en la empresa; pon el recibo a nombre de la empresa, por favor.	領収書 es un justificante de pago; aquí se solicita que figure el nombre de la empresa.
お釣り	N5	compras	[千円|せんえん][払|はら]って、お[釣|つ]りを[二百円|にひゃくえん]もらいました。	Pagué mil yenes y me dieron doscientos yenes de cambio.	お釣り es la diferencia que se devuelve al pagar más que el precio.
小銭	N4	servicios	コインランドリーで[使|つか]う[小銭|こぜに]がないので、[先|さき]に[両替|りょうがえ]します。	No tengo monedas para la lavandería automática, así que primero voy a cambiar dinero.	小銭 significa monedas o dinero suelto; aquí 両替 es obtener cambio, no otra divisa.
改札	N4	transporte	[駅|えき]の[改札|かいさつ]を[出|で]たところで[待|ま]っています。ホームにはいません。	Te espero justo al salir de los tornos de la estación. No estoy en el andén.	改札 designa el control de acceso; el contexto sitúa a la persona fuera de los tornos.
片道	N4	transporte	[帰|かえ]りは[友人|ゆうじん]の[車|くるま]に[乗|の]るので、[片道|かたみち]の[切符|きっぷ]だけ[買|か]いました。	Como volveré en el coche de un amigo, sólo compré un billete de ida.	片道 es un solo trayecto; 往復 sería ida y vuelta.
往復	N4	transporte	[空港|くうこう]までバスで[往復|おうふく]すると、[全部|ぜんぶ]で[三千円|さんぜんえん]かかります。	Ir y volver al aeropuerto en autobús cuesta tres mil yenes en total.	往復 incluye ambos trayectos; el precio indicado es el total.
終電	N4	transporte	[話|はなし]に[夢中|むちゅう]になって[終電|しゅうでん]を[逃|のが]し、タクシーで[帰|かえ]りました。	Me entretuve tanto conversando que perdí el último tren y volví en taxi.	終電 es el último tren del día; 逃す significa perder la oportunidad de tomarlo.
始発	N4	transporte	[朝|あさ][早|はや]く[海|うみ]に[着|つ]きたいので、[始発|しはつ]に[乗|の]るつもりです。	Quiero llegar al mar temprano, así que pienso tomar el primer tren del día.	始発 puede referirse a una salida inicial; aquí el contexto temporal indica el primero del día.
優先席	N3	transporte	[優先席|ゆうせんせき]に[座|すわ]っていましたが、[杖|つえ]をついた[方|かた]に[席|せき]を[譲|ゆず]りました。	Estaba sentado en un asiento prioritario, pero se lo cedí a una persona que iba con bastón.	席を譲る es ceder el asiento; 方 es una forma respetuosa de referirse a una persona.
宅配便	N4	servicios	[手作|てづく]りのジャムを[箱|はこ]に[詰|つ]めて、[宅配便|たくはいびん]で[両親|りょうしん]に[送|おく]りました。	Metí la mermelada casera en una caja y se la envié a mis padres por mensajería.	宅配便 es el servicio de entrega de paquetes a domicilio.
不在	N3	servicios	[午後|ごご]は[不在|ふざい]にするので、[荷物|にもつ]は[午前中|ごぜんちゅう]に[届|とど]けてもらえますか。	Por la tarde no estaré en casa; ¿podrían entregarme el paquete por la mañana?	不在にする indica ausentarse del lugar donde se espera la entrega.
再配達	N3	servicios	[荷物|にもつ]を[受|う]け[取|と]れなかったので、[明日|あした]の[夜|よる]の[再配達|さいはいたつ]を[頼|たの]みました。	No pude recibir el paquete, así que pedí que lo volvieran a entregar mañana por la noche.	再配達 es un nuevo intento de entrega del mismo envío.
受取人	N3	servicios	[受取人|うけとりにん]の[名前|なまえ]が[違|ちが]っていたため、[荷物|にもつ]を[渡|わた]してもらえませんでした。	Como el nombre del destinatario era incorrecto, no me entregaron el paquete.	受取人 es quien recibe; no debe confundirse con 差出人, quien envía.
差出人	N3	servicios	[封筒|ふうとう]に[差出人|さしだしにん]の[名前|なまえ]がなく、[誰|だれ]からの[手紙|てがみ]か[分|わ]かりませんでした。	El sobre no llevaba el nombre del remitente y no sabía de quién era la carta.	差出人 es la persona que envía la carta.
郵便番号	N4	servicios	[郵便番号|ゆうびんばんごう]を[入力|にゅうりょく]すると、[住所|じゅうしょ]の[一部|いちぶ]が[自動|じどう]で[表示|ひょうじ]されます。	Al introducir el código postal, aparece automáticamente parte de la dirección.	一部 significa sólo una parte; no se completa necesariamente toda la dirección.
宛先	N3	tecnologia	メールの[宛先|あてさき]を[間違|まちが]えて、[別|べつ]の[人|ひと]に[送|おく]ってしまいました。	Me equivoqué de destinatario al enviar el correo y se lo mandé a otra persona.	宛先 señala a quién o a qué dirección va destinado el mensaje.
封筒	N5	servicios	[写真|しゃしん]と[手紙|てがみ]を、[同|おな]じ[封筒|ふうとう]に[入|い]れました。	He metido la foto y la carta en el mismo sobre.	同じ封筒 indica un único sobre compartido por ambos objetos.
印鑑	N3	servicios	この[手続|てつづ]きには[印鑑|いんかん]が[必要|ひつよう]ですか。それとも[署名|しょめい]だけでいいですか。	¿Para este trámite hace falta un sello personal o basta con la firma?	印鑑 es un sello personal; la pregunta no presupone que todos los trámites lo exijan.
申込書	N3	servicios	[申込書|もうしこみしょ]の[電話番号|でんわばんごう]が[読|よ]みにくいので、[書|か]き[直|なお]してください。	El número de teléfono de la solicitud cuesta leerlo; escríbelo de nuevo, por favor.	申込書 es el formulario de solicitud; にくい expresa dificultad para leer.
締め切り	N3	educacion	レポートの[締|し]め[切|き]りは[明日|あした]ですが、まだ[半分|はんぶん]しか[書|か]けていません。	El plazo para entregar el informe termina mañana, pero sólo he conseguido escribir la mitad.	しか＋negativo limita la cantidad; 締め切り es la fecha o el momento límite.
解約	N3	servicios	[引|ひ]っ[越|こ]すので、[今月|こんげつ][末|まつ]でインターネットの[契約|けいやく]を[解約|かいやく]したいです。	Como me voy a mudar, quiero dar de baja el contrato de internet a finales de este mes.	解約 significa terminar un contrato; no es simplemente desconectar el router.
手数料	N3	servicios	この[銀行|ぎんこう]では、[窓口|まどぐち]で[送金|そうきん]すると[手数料|てすうりょう]がかかります。	En este banco se cobra una comisión si envías dinero desde la ventanilla.	手数料 es una comisión por el servicio; la frase se limita a este banco.
品切れ	N3	compras	[欲|ほ]しかった[色|いろ]は[品切|しなぎ]れだったので、[何|なに]も[買|か]わずに[店|みせ]を[出|で]ました。	El color que quería estaba agotado, así que salí de la tienda sin comprar nada.	品切れ significa que no quedan existencias; no que el producto sea defectuoso.
取り寄せ	N3	compras	この[本|ほん]は[店|みせ]にないので、[取|と]り[寄|よ]せをお[願|ねが]いできますか。	Como no tienen este libro en la tienda, ¿podrían pedirlo para mí?	取り寄せ es encargar que traigan un producto desde otro lugar.
空席	N4	transporte	[次|つぎ]の[列車|れっしゃ]に[空席|くうせき]があるか、[窓口|まどぐち]で[聞|き]いてみます。	Voy a preguntar en la ventanilla si quedan asientos libres en el próximo tren.	空席 es un asiento disponible; てみる indica intentar la consulta.
禁煙	N4	servicios	この[喫茶店|きっさてん]は、テラスも[含|ふく]めて[全席|ぜんせき][禁煙|きんえん]です。	En esta cafetería está prohibido fumar en todos los asientos, incluida la terraza.	禁煙 indica la prohibición de fumar; 含めて incluye expresamente la terraza.
迷子	N4	compras	[店内|てんない]で[迷子|まいご]になった[子供|こども]を、[案内所|あんないじょ]へ[連|つ]れていきました。	Llevé al punto de información a un niño que se había perdido dentro de la tienda.	迷子になる se usa para alguien que no encuentra a sus acompañantes o su camino.
落とし物	N4	transporte	[駅|えき]で[鍵|かぎ]をなくしたので、[落|お]とし[物|もの]が[届|とど]いていないか[尋|たず]ねました。	Perdí las llaves en la estación y pregunté si alguien las había entregado como objeto perdido.	落とし物が届く significa que un objeto perdido ha sido entregado al servicio correspondiente.
避難	N3	educacion	[訓練|くんれん]では、[先生|せんせい]の[指示|しじ]に[従|したが]って[校庭|こうてい]へ[避難|ひなん]しました。	Durante el simulacro, evacuamos al patio del colegio siguiendo las instrucciones del profesor.	避難 es ponerse a salvo; 訓練 aclara que se trata de un simulacro.
停電	N3	vida_diaria	[停電|ていでん]で[部屋|へや]が[真|ま]っ[暗|くら]になり、[懐中電灯|かいちゅうでんとう]を[探|さが]しました。	Un corte de luz dejó la habitación a oscuras y busqué una linterna.	停電 es la interrupción del suministro eléctrico.
断水	N3	vida_diaria	[明日|あした]は[工事|こうじ]で[断水|だんすい]するため、[飲|の]み[水|みず]を[用意|ようい]しておきました。	Mañana cortarán el agua por unas obras, así que he dejado preparada agua para beber.	断水 es un corte del suministro de agua; ておく marca preparación anticipada.
湿気	N3	vida_diaria	[押|お]し[入|い]れに[湿気|しっけ]がこもるので、ときどき[戸|と]を[開|あ]けています。	Como se acumula humedad en el armario, de vez en cuando dejo las puertas abiertas.	湿気がこもる indica que la humedad queda retenida en un espacio cerrado.
蚊	N4	vida_diaria	[窓|まど]を[開|あ]けていたら、[蚊|か]が[何匹|なんびき]も[入|はい]ってきました。	Mientras tenía la ventana abierta, entraron varios mosquitos.	何匹も expresa varios o muchos insectos; no pregunta cuántos.
くしゃみ	N4	vida_diaria	[古|ふる]い[本|ほん]のほこりを[払|はら]ったら、くしゃみが[出|で]ました。	Al quitarle el polvo a un libro viejo, estornudé.	くしゃみが出る es la expresión para que salga un estornudo.
喉	N4	vida_diaria	[長|なが]く[話|はな]して[喉|のど]が[乾|かわ]いたので、[水|みず]を[一杯|いっぱい][飲|の]みました。	Después de hablar mucho se me secó la garganta y bebí un vaso de agua.	喉が乾く suele expresar tener sed; aquí se conserva también la sequedad por hablar.
寝坊	N4	vida_diaria	[今朝|けさ]は[寝坊|ねぼう]して、[朝|あさ]ご[飯|はん]を[食|た]べる[時間|じかん]がありませんでした。	Esta mañana me quedé dormido y no tuve tiempo de desayunar.	寝坊する es levantarse más tarde de lo previsto, no simplemente dormir profundamente.
添付	N3	tecnologia	[説明|せつめい]だけでは[伝|つた]わりにくいので、メールに[図|ず]を[添付|てんぷ]しました。	Como era difícil hacerse entender sólo con la explicación, adjunté un esquema al correo.	添付する es añadir un archivo adjunto; 図 puede ser un esquema o diagrama.
暗証番号	N3	servicios	[暗証番号|あんしょうばんごう]を[忘|わす]れてしまい、[現金|げんきん]を[引|ひ]き[出|だ]せませんでした。	Se me olvidó el PIN y no pude sacar dinero en efectivo.	暗証番号 es un código numérico de identificación; aquí permite retirar efectivo.
