target	level	topic	ruby	spanish	note
氷	N4	comida	[氷|こおり]が[溶|と]けて、ジュースの[味|あじ]が[薄|うす]くなりました。	El hielo se derritió y el zumo se aguó.	氷 es hielo; 溶ける indica que se derrite.
雷	N4	vida_diaria	[遠|とお]くで[雷|かみなり]の[音|おと]がしたので、[洗濯物|せんたくもの]を[取|と]り[込|こ]みました。	Oí truenos a lo lejos y recogí la ropa tendida.	雷の音 se refiere al trueno.
稲妻	N3	vida_diaria	[窓|まど]の[外|そと]で[稲妻|いなずま]が[光|ひか]り、[部屋|へや]が[一瞬|いっしゅん][明|あか]るくなりました。	Un relámpago iluminó el exterior y la habitación se aclaró por un instante.	稲妻 es el destello visible del rayo.
虹	N4	ocio	[雨|あめ]がやんだ[後|あと]、[川|かわ]の[上|うえ]に[虹|にじ]が[出|で]ました。	Después de parar de llover, apareció un arcoíris sobre el río.	虹 significa arcoíris.
夕焼け	N4	ocio	[夕焼|ゆうや]けがきれいで、[帰|かえ]る[途中|とちゅう]に[何度|なんど]も[空|そら]を[見|み]ました。	El cielo del atardecer estaba tan bonito que lo miré varias veces de camino a casa.	夕焼け es el color rojizo del cielo al anochecer.
日の出	N4	ocio	[日|ひ]の[出|で]を[見|み]るため、[暗|くら]いうちに[丘|おか]へ[登|のぼ]りました。	Subí a la colina todavía de noche para ver amanecer.	日の出 es la salida del sol.
日陰	N4	vida_diaria	[暑|あつ]くなったので、[日陰|ひかげ]のベンチへ[移|うつ]りました。	Como empezó a hacer calor, me cambié a un banco a la sombra.	日陰 es un lugar protegido de la luz directa del sol.
日差し	N3	vida_diaria	[午後|ごご]の[日差|ひざ]しが[強|つよ]くて、カーテンを[半分|はんぶん][閉|し]めました。	El sol de la tarde entraba con fuerza y cerré las cortinas a medias.	日差し es la luz solar que incide sobre algo.
気温	N4	vida_diaria	[昼|ひる]と[夜|よる]で[気温|きおん]の[差|さ]が[大|おお]きい[町|まち]です。	Es una ciudad donde hay mucha diferencia de temperatura entre el día y la noche.	気温 es la temperatura del aire.
湿度	N3	vida_diaria	[湿度|しつど]が[高|たか]く、[洗濯物|せんたくもの]がなかなか[乾|かわ]きません。	La humedad es alta y la ropa tarda mucho en secarse.	湿度 es el grado de humedad del aire.
乾燥	N3	vida_diaria	[部屋|へや]が[乾燥|かんそう]していて、[鉢|はち]の[土|つち]がすぐ[乾|かわ]きます。	El ambiente de la habitación está seco y la tierra de las macetas se seca enseguida.	乾燥する es perder humedad o estar seco.
梅雨	N4	vida_diaria	[梅雨|つゆ]の[間|あいだ]は、[傘|かさ]を[玄関|げんかん]に[置|お]いています。	Durante la temporada de lluvias dejo el paraguas en la entrada.	梅雨 es la estación lluviosa japonesa.
猛暑	N3	vida_diaria	[猛暑|もうしょ]の[日|ひ]は、[公園|こうえん]の[人影|ひとかげ]もまばらでした。	En los días de calor extremo, apenas se veía gente en el parque.	猛暑 significa calor intenso.
冷え込む	N3	vida_diaria	[夜|よる]は[冷|ひ]え[込|こ]むと[聞|き]いて、[厚|あつ]い[上着|うわぎ]を[持|も]ってきました。	Me dijeron que por la noche refrescaría mucho y traje una chaqueta gruesa.	冷え込む indica una bajada marcada de temperatura.
吹雪	N3	transporte	[吹雪|ふぶき]で[道路|どうろ]が[見|み]えにくくなり、バスは[途中|とちゅう]で[止|と]まりました。	La ventisca redujo la visibilidad de la carretera y el autobús se detuvo en el trayecto.	吹雪 combina viento fuerte y nieve.
積もる	N4	vida_diaria	[一晩|ひとばん]で[雪|ゆき]が[積|つ]もり、[庭|にわ]が[真|ま]っ[白|しろ]になりました。	Nevó durante la noche y el jardín amaneció completamente blanco.	積もる describe la acumulación de nieve.
溶ける	N4	comida	[持|も]ち[帰|かえ]る[間|あいだ]にアイスが[溶|と]けてしまいました。	El helado se derritió mientras lo llevaba a casa.	溶ける es derretirse.
凍る	N4	vida_diaria	[朝|あさ]、[池|いけ]の[表面|ひょうめん]が[薄|うす]く[凍|こお]っていました。	Por la mañana había una fina capa de hielo en la superficie del estanque.	凍る significa congelarse.
嵐	N3	vida_diaria	[嵐|あらし]の[翌朝|よくあさ]、[庭|にわ]に[枝|えだ]がたくさん[落|お]ちていました。	La mañana después de la tormenta había muchas ramas caídas en el jardín.	嵐 es una tormenta fuerte.
強風	N3	transporte	[強風|きょうふう]のため、[橋|はし]を[渡|わた]る[電車|でんしゃ]が[遅|おく]れていました。	El tren que cruza el puente llevaba retraso por el viento fuerte.	強風 significa viento intenso.
洪水	N3	vida_diaria	[洪水|こうずい]の[後|あと]、[町|まち]の[人|ひと]たちが[道|みち]の[泥|どろ]を[片付|かたづ]けました。	Después de la inundación, los vecinos retiraron el barro de las calles.	洪水 es una inundación.
泥	N4	vida_diaria	[畑|はたけ]を[歩|ある]いて、[靴|くつ]の[底|そこ]に[泥|どろ]がつきました。	Se me pegó barro en las suelas al caminar por el campo de cultivo.	泥 es barro.
砂	N4	ocio	[海辺|うみべ]で[遊|あそ]んだ[後|あと]、[靴|くつ]の[中|なか]から[砂|すな]が[出|で]てきました。	Después de jugar junto al mar, salió arena del interior de mis zapatos.	砂 significa arena.
砂浜	N4	ocio	[砂浜|すなはま]に[足跡|あしあと]が[残|のこ]りましたが、[波|なみ]で[消|き]えました。	Mis huellas quedaron en la playa de arena, pero las borraron las olas.	砂浜 es una playa arenosa.
貝殻	N3	ocio	[拾|ひろ]った[貝殻|かいがら]を[洗|あら]い、[窓辺|まどべ]に[飾|かざ]りました。	Lavé las conchas que había recogido y las puse de adorno junto a la ventana.	貝殻 es la concha vacía de un molusco.
潮	N3	ocio	[潮|しお]が[引|ひ]くと、[岩|いわ]の[間|あいだ]に[小|ちい]さな[魚|さかな]が[見|み]えます。	Cuando baja la marea, se ven peces pequeños entre las rocas.	潮が引く significa bajar la marea.
沖	N3	ocio	[漁船|ぎょせん]が[沖|おき]へ[出|で]ていくのを、[港|みなと]から[見|み]ていました。	Desde el puerto observaba cómo los barcos pesqueros salían mar adentro.	沖 es la zona del mar alejada de la orilla.
岸	N4	ocio	[岸|きし]に[座|すわ]って、[川|かわ]の[流|なが]れを[眺|なが]めました。	Me senté en la orilla a contemplar la corriente del río.	岸 es una orilla o ribera.
滝	N4	ocio	[森|もり]を[抜|ぬ]けると、[大|おお]きな[滝|たき]の[音|おと]が[聞|き]こえました。	Al salir del bosque se oía el ruido de una gran cascada.	滝 significa cascada.
泉	N3	ocio	[村|むら]の[近|ちか]くに、[一年中|いちねんじゅう][水|みず]がわく[泉|いずみ]があります。	Cerca del pueblo hay un manantial del que brota agua todo el año.	泉 es un manantial.
谷	N3	ocio	[谷|たに]の[向|む]こうから、[人|ひと]の[声|こえ]が[聞|き]こえました。	Se oía una voz desde el otro lado del valle.	谷 significa valle.
崖	N3	ocio	[道|みち]の[片側|かたがわ]は[崖|がけ]で、[下|した]に[海|うみ]が[広|ひろ]がっていました。	A un lado del camino había un acantilado y abajo se extendía el mar.	崖 es un precipicio o pared de terreno escarpada.
頂上	N3	ocio	[頂上|ちょうじょう]に[着|つ]くと、[雲|くも]の[下|した]に[町|まち]が[見|み]えました。	Al llegar a la cima, vimos la ciudad debajo de las nubes.	頂上 es el punto más alto de una montaña.
麓	N3	ocio	[山|やま]の[麓|ふもと]の[宿|やど]で、[一晩|ひとばん][休|やす]みました。	Pasamos la noche en un alojamiento al pie de la montaña.	麓 es la base o pie de una montaña.
斜面	N3	ocio	[日当|ひあ]たりのいい[斜面|しゃめん]に、[花|はな]が[咲|さ]いていました。	Había flores en la ladera soleada.	斜面 es una superficie inclinada.
平野	N3	transporte	[列車|れっしゃ]が[山|やま]を[越|こ]えると、[広|ひろ]い[平野|へいや]が[見|み]えてきました。	Cuando el tren cruzó la montaña, apareció una amplia llanura.	平野 es una extensión de terreno llano.
草原	N3	ocio	[草原|そうげん]で[馬|うま]が[草|くさ]を[食|た]べていました。	Había caballos pastando en la pradera.	草原 es una extensión cubierta de hierba.
茂る	N3	vida_diaria	[庭|にわ]の[木|き]の[葉|は]が[茂|しげ]って、[窓|まど]が[暗|くら]くなりました。	Las hojas del árbol del jardín crecieron tanto que dejaron la ventana en sombra.	茂る indica crecimiento abundante de vegetación.
枯れる	N3	vida_diaria	[旅行|りょこう]の[間|あいだ]に[鉢|はち]の[花|はな]が[枯|か]れてしまいました。	Las flores de la maceta se marchitaron mientras estaba de viaje.	枯れる es secarse o morir una planta.
芽	N3	vida_diaria	[先週|せんしゅう]まいた[種|たね]から、[小|ちい]さな[芽|め]が[出|で]ました。	Han brotado pequeños tallos de las semillas que sembré la semana pasada.	芽 es un brote.
根	N3	vida_diaria	[鉢|はち]を[持|も]ち[上|あ]げると、[底|そこ]の[穴|あな]から[根|ね]が[出|で]ていました。	Al levantar la maceta vi raíces saliendo por el agujero del fondo.	根 significa raíz de una planta.
幹	N3	ocio	[古|ふる]い[木|き]の[幹|みき]は、[大人|おとな][二人|ふたり]で[抱|かか]えるほど[太|ふと]いです。	El tronco del árbol viejo es tan grueso que hacen falta dos adultos para rodearlo.	幹 es el tronco de un árbol.
枝	N4	vida_diaria	[窓|まど]に[当|あ]たる[枝|えだ]を、[庭師|にわし]に[切|き]ってもらいました。	Pedí al jardinero que cortara la rama que golpeaba la ventana.	枝 significa rama.
葉	N4	vida_diaria	[雨|あめ]の[後|あと]、[葉|は]の[上|うえ]に[水滴|すいてき]が[残|のこ]っていました。	Después de la lluvia quedaban gotas de agua sobre las hojas.	葉 es hoja de una planta.
実	N3	vida_diaria	[庭|にわ]の[木|き]に[赤|あか]い[実|み]がなり、[鳥|とり]が[集|あつ]まってきました。	El árbol del jardín dio frutos rojos y empezaron a acercarse los pájaros.	実がなる significa dar fruto.
種	N4	vida_diaria	[来年|らいねん]も[育|そだ]てたいので、[花|はな]の[種|たね]を[取|と]っておきました。	Guardé semillas de las flores porque quiero cultivarlas también el año que viene.	種 es semilla; ておく expresa reservar para después.
