target	level	topic	ruby	spanish	note
賃貸	N3	vida_diaria	[賃貸|ちんたい]の[部屋|へや]なので、[壁|かべ]に[穴|あな]を[開|あ]ける[前|まえ]に[大家|おおや]に[相談|そうだん]しました。	Como el piso es de alquiler, consulté al casero antes de hacer agujeros en la pared.	賃貸 indica que una vivienda se arrienda.
レート	N3	compras	[両替所|りょうがえじょ]によってレートが[違|ちが]ったので、[駅前|えきまえ]でも[確|たし]かめました。	El tipo de cambio variaba según la oficina, así que también lo comprobé en la de delante de la estación.	レート significa aquí tipo de cambio.
インチ	N3	tecnologia	[同|おな]じ[二十四|にじゅうよん]インチでも、[画面|がめん]の[周|まわ]りの[枠|わく]の[太|ふと]さが[違|ちが]います。	Aunque ambas pantallas son de veinticuatro pulgadas, el grosor del marco es distinto.	インチ es la unidad pulgada; el tamaño de pantalla se mide en diagonal.
排出	N2	educacion	[工場|こうじょう]から[排出|はいしゅつ]される[水|みず]の[温度|おんど]を、[毎日|まいにち][測|はか]っています。	Medimos cada día la temperatura del agua que vierte la fábrica.	排出される expresa que un líquido o gas es expulsado al exterior.
スピーカー	N4	tecnologia	[左|ひだり]のスピーカーからしか[音|おと]が[出|で]ないので、ケーブルを[調|しら]べました。	Como sólo salía sonido del altavoz izquierdo, revisé el cable.	スピーカー es un altavoz.
印	N4	vida_diaria	[自分|じぶん]の[傘|かさ]だとすぐわかるように、[持|も]ち[手|て]に[印|しるし]を[付|つ]けました。	Puse una marca en el mango del paraguas para reconocer enseguida el mío.	印 es una señal o marca identificativa.
マナー	N3	ocio	[海外|かいがい]へ[行|い]く[前|まえ]に、[食事|しょくじ]のマナーを[少|すこ]し[調|しら]べておきました。	Antes de viajar al extranjero, consulté un poco las normas de comportamiento en la mesa.	マナー son convenciones de cortesía y comportamiento.
新書	N3	cultura	[専門書|せんもんしょ]は[難|むずか]しかったので、まず[入門|にゅうもん][向|む]けの[新書|しんしょ]を[読|よ]みました。	Como el libro especializado era difícil, empecé por un volumen divulgativo de introducción en formato shinsho.	新書 es un formato editorial japonés, a menudo de divulgación; no equivale simplemente a un libro nuevo.
実装	N2	tecnologia	[要望|ようぼう]の[多|おお]かった[検索|けんさく][機能|きのう]が、[今月|こんげつ]ようやく[実装|じっそう]されました。	Este mes por fin se implementó la función de búsqueda que tantos usuarios habían solicitado.	実装する es implementar una función de software.
乗り込む	N3	transporte	[最後|さいご]の[乗客|じょうきゃく]が[乗|の]り[込|こ]むまで、[船|ふね]は[出発|しゅっぱつ]しませんでした。	El barco no salió hasta que subió el último pasajero.	乗り込む es entrar en un vehículo o embarcar.
サポーター	N3	ocio	[雨|あめ]の[中|なか]でも、サポーターは[試合|しあい]の[最後|さいご]まで[応援|おうえん]を[続|つづ]けました。	A pesar de la lluvia, los aficionados siguieron animando hasta el final del partido.	サポーター significa aquí aficionado que apoya a un equipo.
班	N3	educacion	[実験|じっけん]は[四人|よにん]の[班|はん]で[行|おこな]い、[記録|きろく]する[係|かかり]を[交代|こうたい]しました。	Hicimos el experimento en grupos de cuatro y nos turnamos para tomar notas.	班 es un grupo de trabajo dentro de un conjunto mayor.
針	N3	vida_diaria	[針|はり]に[糸|いと]が[通|とお]らず、[明|あか]るい[窓|まど]のそばへ[移動|いどう]しました。	Como no conseguía enhebrar la aguja, me acerqué a una ventana con buena luz.	針に糸を通す es enhebrar una aguja.
二度と	N3	vida_diaria	[鍵|かぎ]をなくしたので、[二度|にど]と[落|お]とさないようにかばんに[結|むす]びました。	Después de perder las llaves, las até al bolso para que no se me volvieran a caer.	二度と con una negación significa nunca más.
曲目	N3	cultura	[演奏会|えんそうかい]の[曲目|きょくもく]は、[来週|らいしゅう]の[練習|れんしゅう]で[決|き]める[予定|よてい]です。	Tenemos previsto decidir las piezas del concierto en el ensayo de la semana que viene.	曲目 se refiere a las piezas de un programa musical.
沈む	N3	educacion	[木|き]の[玉|たま]は[浮|う]きましたが、[金属|きんぞく]の[玉|たま]は[底|そこ]に[沈|しず]みました。	La bola de madera flotó, pero la de metal se hundió hasta el fondo.	沈む significa hundirse, en contraste con 浮く, flotar.
ガソリン	N4	transporte	ガソリンが[少|すく]なくなっていたので、[山道|やまみち]に[入|はい]る[前|まえ]に[給油|きゅうゆ]しました。	Como quedaba poca gasolina, reposté antes de entrar en la carretera de montaña.	ガソリン es gasolina; 給油する es repostar.
新刊	N3	cultura	[好|す]きな[作家|さっか]の[新刊|しんかん]を、[発売日|はつばいび]に[受|う]け[取|と]れるように[予約|よやく]しました。	Reservé el nuevo libro de mi escritor favorito para recogerlo el día de su lanzamiento.	新刊 es una publicación recién editada, a diferencia del formato 新書.
世界一	N3	cultura	[世界一|せかいいち]の[高|たか]さではなくても、この[塔|とう]からの[眺|なが]めは[見事|みごと]です。	Aunque no sea la más alta del mundo, las vistas desde esta torre son magníficas.	世界一 marca el primer puesto en una cualidad a escala mundial.
リソース	N2	tecnologia	[限|かぎ]られたリソースを[節約|せつやく]するため、[使|つか]っていない[処理|しょり]を[止|と]めました。	Detuvimos los procesos que no se estaban utilizando para ahorrar los recursos limitados disponibles.	リソース se refiere aquí a recursos informáticos.
フレーズ	N3	educacion	[旅行中|りょこうちゅう]によく[使|つか]うフレーズを、[短|みじか]い[会話|かいわ]の[中|なか]で[覚|おぼ]えました。	Aprendí expresiones frecuentes en los viajes dentro de conversaciones cortas.	フレーズ es una expresión o grupo de palabras.
沈黙	N2	vida_diaria	[誰|だれ]も[答|こた]えず、[数秒|すうびょう]の[沈黙|ちんもく]がとても[長|なが]く[感|かん]じられました。	Nadie respondió y aquellos segundos de silencio me parecieron larguísimos.	沈黙 es silencio por ausencia de palabras.
工房	N3	cultura	[小|ちい]さな[工房|こうぼう]で、[職人|しょくにん]が[一脚|いっきゃく]ずつ[椅子|いす]を[作|つく]っています。	En un pequeño taller, un artesano fabrica las sillas una a una.	工房 es el taller de un artesano o artista.
属性	N2	tecnologia	[商品|しょうひん]の[色|いろ]や[大|おお]きさを[属性|ぞくせい]として[登録|とうろく]すると、[検索|けんさく]しやすくなります。	Si se registran el color y el tamaño como atributos del producto, resulta más fácil buscarlo.	属性 es una característica o atributo usado para describir algo.
渋滞	N3	transporte	[橋|はし]の[工事|こうじ]による[渋滞|じゅうたい]を[避|さ]けて、[一|ひと]つ[先|さき]の[出口|でぐち]を[使|つか]いました。	Para evitar el atasco provocado por las obras del puente, tomé la siguiente salida.	渋滞 es congestión de tráfico.
抜粋	N2	cultura	[展示|てんじ]されているのは[日記|にっき]の[抜粋|ばっすい]で、[全文|ぜんぶん]ではありません。	Lo que está expuesto son extractos del diario, no el texto completo.	抜粋 es una selección de fragmentos de una obra.
切り替える	N3	tecnologia	[会議|かいぎ]が[始|はじ]まる[前|まえ]に、マイクを[外付|そとづ]けのものに[切|き]り[替|か]えました。	Antes de empezar la reunión, cambié al micrófono externo.	切り替える es pasar de un dispositivo o modo a otro.
多々	N2	trabajo	[説明|せつめい]が[足|た]りない[点|てん]が[多々|たた]あり、[資料|しりょう]を[補|おぎな]う[必要|ひつよう]がありました。	Había numerosos puntos insuficientemente explicados y fue necesario completar la documentación.	多々ある es una manera formal de expresar que hay muchos casos.
ユニーク	N3	cultura	[廃材|はいざい]で[作|つく]った[楽器|がっき]を[使|つか]う、ユニークな[演奏会|えんそうかい]でした。	Fue un concierto original, con instrumentos hechos de materiales desechados.	ユニーク suele significar original o singular, no simplemente único en número.
整う	N3	trabajo	[機材|きざい]と[人員|じんいん]が[整|ととの]ったので、[撮影|さつえい]を[始|はじ]められます。	Ya están preparados el equipo técnico y el personal, así que podemos comenzar el rodaje.	整う expresa que los elementos necesarios están listos.
ダメージ	N3	vida_diaria	[箱|はこ]にはダメージがありましたが、[中|なか]の[食器|しょっき]は[無事|ぶじ]でした。	La caja estaba dañada, pero la vajilla del interior estaba intacta.	ダメージ significa daño; 無事 indica que algo no ha sufrido daños.
知り合う	N4	vida_diaria	[今|いま]の[隣人|りんじん]とは、[地域|ちいき]の[清掃|せいそう][活動|かつどう]で[知|し]り[合|あ]いました。	Conocí a mi actual vecino en una actividad de limpieza del barrio.	知り合う es conocer a alguien y empezar una relación.
牛肉	N4	comida	[牛肉|ぎゅうにく]を[薄|うす]く[切|き]っておくと、[短|みじか]い[時間|じかん]で[火|ひ]が[通|とお]ります。	Si cortas la carne de vacuno en lonchas finas, se cocina en poco tiempo.	牛肉 es carne de vacuno; 火が通る significa quedar cocinado.
イカ	N4	comida	このイカは[焼|や]きすぎると[硬|かた]くなるので、[火|ひ]を[止|と]めるタイミングが[大切|たいせつ]です。	Este calamar se endurece si se cocina demasiado, así que es importante apagar el fuego en el momento adecuado.	イカ significa calamar.
グラス	N4	vida_diaria	[氷|こおり]を[入|い]れたグラスの[外側|そとがわ]に、[水滴|すいてき]が[付|つ]いています。	Hay gotas de agua en el exterior del vaso con hielo.	グラス es un vaso; 水滴 son gotas de agua.
獣	N3	cultura	[森|もり]に[住|す]む[獣|けもの]たちが、[人間|にんげん]の[言葉|ことば]で[話|はな]す[童話|どうわ]です。	Es un cuento en el que los animales del bosque hablan el lenguaje de los humanos.	獣 se refiere a animales, especialmente mamíferos terrestres, con un matiz literario aquí.
デート	N4	vida_diaria	[初|はじ]めてのデートでは、[緊張|きんちょう]して[料理|りょうり]の[味|あじ]をあまり[覚|おぼ]えていません。	Estaba tan nervioso en nuestra primera cita que apenas recuerdo cómo sabía la comida.	デート es una cita romántica.
ポート	N3	tecnologia	このポートは[充電|じゅうでん][専用|せんよう]なので、[映像|えいぞう]は[出力|しゅつりょく]できません。	Este puerto sólo sirve para cargar y no puede emitir vídeo.	ポート significa aquí un puerto o conector físico.
フロー	N2	trabajo	[担当者|たんとうしゃ]が[休|やす]みでも[困|こま]らないように、[作業|さぎょう]のフローを[図|ず]にしました。	Representamos el flujo de trabajo en un diagrama para evitar problemas cuando falte la persona responsable.	フロー se refiere a la secuencia de un proceso.
