target	level	ruby	spanish	note
メニュー	N5	この[店|みせ]のメニューには、[料理|りょうり]の[写真|しゃしん]もあります。	La carta de este restaurante también tiene fotos de los platos.	メニュー significa aquí carta del restaurante, no menú del día.
秘密	N4	[父|ちち]へのプレゼントは、[誕生日|たんじょうび]まで[秘密|ひみつ]にしておきましょう。	Mantengamos en secreto el regalo para mi padre hasta su cumpleaños.	秘密にしておく expresa mantener algo en secreto durante un tiempo.
汗	N4	[坂|さか]を[上|のぼ]って[汗|あせ]をかいたので、[木|き]の[下|した]で[少|すこ]し[休|やす]みました。	Como sudé al subir la cuesta, descansé un poco debajo de un árbol.	汗をかく es la expresión habitual para sudar.
エンジン	N4	[車|くるま]のエンジンがかからなくて、[今朝|けさ]はバスで[出勤|しゅっきん]しました。	El motor del coche no arrancaba, así que esta mañana fui al trabajo en autobús.	エンジンがかかる significa que el motor arranca.
チャンス	N3	[今回|こんかい]の[発表|はっぴょう]は、[自分|じぶん]のアイデアを[伝|つた]えるチャンスです。	Esta presentación es una oportunidad para dar a conocer mis ideas.	チャンス designa una oportunidad favorable, no una probabilidad.
ソース	N4	ソースは[全部|ぜんぶ]かけないで、[半分|はんぶん][残|のこ]してください。	No eches toda la salsa; deja la mitad, por favor.	かける significa aquí echar salsa sobre la comida.
援助	N3	[台風|たいふう]で[家|いえ]を[失|うしな]った[人|ひと]たちに、[市|し]が[援助|えんじょ]を[行|おこな]っています。	El ayuntamiento está prestando ayuda a las personas que perdieron su casa por el tifón.	援助 se refiere a la ayuda prestada; no especifica que sea dinero.
除く	N3	[日曜日|にちようび]を[除|のぞ]き、この[窓口|まどぐち]は[毎日|まいにち][開|あ]いています。	Esta ventanilla está abierta todos los días excepto los domingos.	を除き excluye los domingos del conjunto de días.
コーナー	N4	[本屋|ほんや]の[奥|おく]に、[子供|こども][向|む]けの[絵本|えほん]のコーナーがあります。	Al fondo de la librería hay una sección de libros ilustrados para niños.	コーナー es aquí una sección de la tienda, no una esquina literal.
削除	N3	[住所|じゅうしょ]が[写|うつ]っていたので、[投稿|とうこう]した[写真|しゃしん]を[削除|さくじょ]しました。	He borrado la foto que había publicado porque en ella se veía mi dirección.	写っている indica que algo aparece en una fotografía.
きっかけ	N3	[友人|ゆうじん]に[誘|さそ]われたのがきっかけで、[週末|しゅうまつ]に[山|やま]を[歩|ある]くようになりました。	A raíz de la invitación de un amigo, empecé a hacer senderismo los fines de semana.	きっかけ señala el hecho que dio inicio a la nueva costumbre.
夫婦	N4	あの[夫婦|ふうふ]は、[駅|えき]の[近|ちか]くで[小|ちい]さなパン[屋|や]を[開|ひら]いています。	Ese matrimonio tiene una pequeña panadería cerca de la estación.	夫婦 se refiere a las dos personas que forman el matrimonio.
考慮	N2	[参加者|さんかしゃ]の[年齢|ねんれい]を[考慮|こうりょ]して、[休憩|きゅうけい]の[時間|じかん]を[長|なが]くしました。	Hemos alargado el tiempo de descanso teniendo en cuenta la edad de los participantes.	考慮する expresa tener un factor en cuenta al decidir.
訴える	N3	[近所|きんじょ]の[人|ひと]たちが[騒音|そうおん]の[被害|ひがい]を[市|し]に[訴|うった]えました。	Los vecinos han presentado al ayuntamiento sus quejas por los perjuicios del ruido.	訴える es aquí comunicar una queja; no implica una demanda judicial.
表す	N3	この[地図|ちず]では、[青|あお]い[線|せん]が[川|かわ]を[表|あらわ]しています。	En este mapa, las líneas azules representan los ríos.	表す significa representar mediante un signo o símbolo.
ワイン	N4	このワインは[甘|あま]くありませんが、[果物|くだもの]の[香|かお]りがします。	Este vino no es dulce, pero huele a fruta.	香りがする describe un aroma; no afirma que el vino contenga fruta añadida.
首	N4	[高|たか]い[枕|まくら]で[寝|ね]たら、[朝|あさ]から[首|くび]が[痛|いた]くなりました。	Después de dormir con una almohada alta, me empezó a doler el cuello por la mañana.	首 significa cuello en este contexto.
血	N4	[紙|かみ]で[指|ゆび]を[切|き]って、[少|すこ]し[血|ち]が[出|で]ました。	Me he cortado un dedo con el papel y me ha salido un poco de sangre.	血が出る describe el sangrado, no una extracción de sangre.
載る	N4	[地元|じもと]の[新聞|しんぶん]に、[祖母|そぼ]の[店|みせ]の[記事|きじ]が[載|の]りました。	Ha salido un artículo sobre la tienda de mi abuela en el periódico local.	載る significa aparecer publicado; se distingue de 乗る, subir a un vehículo.
バイト	N4	[今月|こんげつ]はバイトを[増|ふ]やして、[旅行|りょこう]の[費用|ひよう]を[貯|た]めるつもりです。	Este mes pienso trabajar más en mi empleo a tiempo parcial para ahorrar para el viaje.	バイト es la forma abreviada de アルバイト; 増やす no exige un segundo empleo.
ガス	N4	ガスの[火|ひ]を[消|け]したか[心配|しんぱい]で、[台所|だいどころ]に[戻|もど]りました。	Me preocupaba si había apagado el fuego de gas y volví a la cocina.	La duda recae sobre una acción ya realizada: haber apagado el fuego.
受験	N3	[来年|らいねん][大学|だいがく]を[受験|じゅけん]するので、[夏休|なつやす]みも[毎日|まいにち][勉強|べんきょう]します。	Como el año que viene me presentaré a las pruebas de acceso a la universidad, estudiaré a diario también durante las vacaciones de verano.	大学を受験する se refiere a presentarse a las pruebas de acceso.
普及	N2	スマートフォンの[普及|ふきゅう]で、[外出|がいしゅつ][先|さき]でも[簡単|かんたん]に[地図|ちず]を[見|み]られるようになりました。	Con la generalización de los teléfonos inteligentes, se ha vuelto fácil consultar mapas incluso fuera de casa.	普及 expresa la extensión del uso; ようになった marca un cambio de posibilidad.
把握	N2	[作業|さぎょう]を[始|はじ]める[前|まえ]に、[全体|ぜんたい]の[流|なが]れを[把握|はあく]しておきたいです。	Antes de empezar el trabajo, quiero tener claro cómo será todo el proceso.	把握する es comprender el conjunto; ておく señala preparación previa.
細かい	N3	この[地図|ちず]は[細|こま]かい[道|みち]まで[載|の]っているので、[町|まち][歩|ある]きに[便利|べんり]です。	Este mapa muestra hasta las calles pequeñas, así que resulta práctico para pasear por la ciudad.	細かい alude a detalles pequeños; まで destaca el alcance de la información.
意図	N2	その[質問|しつもん]の[意図|いと]が[分|わ]からなかったので、[答|こた]える[前|まえ]に[確認|かくにん]しました。	Como no entendía la intención de esa pregunta, pedí una aclaración antes de responder.	意図 designa lo que se pretende con la pregunta.
育つ	N4	この[野菜|やさい]は、[日|ひ]がよく[当|あ]たる[場所|ばしょ]で[育|そだ]ちます。	Esta hortaliza crece en lugares donde da mucho el sol.	育つ es intransitivo: la planta crece; 育てる expresa cultivarla.
物価	N3	[物価|ぶっか]が[上|あ]がったので、[同|おな]じ[金額|きんがく]では[前|まえ]ほど[買|か]えません。	Como han subido los precios, con la misma cantidad de dinero no puedo comprar tanto como antes.	前ほど…ない establece una comparación negativa con el pasado.
苦労	N3	[初|はじ]めての[一人|ひとり][暮|ぐ]らしでは、[毎日|まいにち]の[献立|こんだて]を[考|かんが]えるのに[苦労|くろう]しました。	La primera vez que viví por mi cuenta, me costó planear qué comer cada día.	のに苦労する expresa la tarea que resultó difícil.
貿易	N3	[港|みなと]の[博物館|はくぶつかん]で、[外国|がいこく]との[貿易|ぼうえき]の[歴史|れきし]を[学|まな]びました。	En el museo del puerto aprendí sobre la historia del comercio con otros países.	貿易 se refiere al comercio internacional.
いきなり	N3	[犬|いぬ]がいきなり[走|はし]り[出|だ]したので、[手|て]に[持|も]っていた[帽子|ぼうし]を[落|お]としました。	El perro echó a correr de repente y se me cayó el sombrero que llevaba en la mano.	いきなり marca lo inesperado; 走り出す indica el comienzo de la acción.
災害	N3	[災害|さいがい]に[備|そな]えて、[玄関|げんかん]の[棚|たな]に[水|みず]と[懐中電灯|かいちゅうでんとう]を[置|お]いています。	Para estar preparados ante un desastre, guardamos agua y una linterna en el estante de la entrada.	に備えて expresa preparación preventiva, no que ya haya ocurrido el desastre.
狭い	N4	この[道|みち]は[狭|せま]いので、[車|くるま]は[通|とお]れません。	Esta calle es estrecha, así que los coches no pueden pasar.	通れません es la forma potencial negativa de 通る.
謎	N3	[最後|さいご]まで[読|よ]んでも、[手紙|てがみ]を[送|おく]った[人|ひと]の[正体|しょうたい]は[謎|なぞ]のままでした。	Incluso después de leer hasta el final, la identidad de quien envió la carta seguía siendo un misterio.	のまま señala que el misterio permanece sin resolverse.
顔	N5	[鏡|かがみ]を[見|み]てください。[顔|かお]に[黒|くろ]いインクが[付|つ]いています。	Mírate en el espejo, por favor. Tienes tinta negra en la cara.	付いている describe la tinta adherida a la piel.
箸	N4	[箸|はし]を[落|お]としました。もう[一膳|いちぜん]ください。	Se me han caído los palillos. Dame otro par, por favor.	一膳 es el contador de pares de palillos; se lee いちぜん.
耳	N4	[飛行機|ひこうき]が[着陸|ちゃくりく]するとき、[耳|みみ]が[痛|いた]くなりました。	Me dolieron los oídos cuando el avión estaba aterrizando.	耳 puede traducirse como oído u oreja; aquí corresponde oído por el contexto.
壁	N5	[机|つくえ]と[壁|かべ]の[間|あいだ]に、[細|ほそ]い[棚|たな]があります。	Hay una estantería estrecha entre el escritorio y la pared.	AとBの間 expresa la posición entre dos elementos.
怖い	N4	[怖|こわ]い[映画|えいが]を[見|み]た[後|あと]は、[一人|ひとり]で[廊下|ろうか]を[歩|ある]きたくありません。	Después de ver una película de miedo, no quiero andar por el pasillo a solas.	たい en negativo expresa falta de deseo, no incapacidad.
久しぶり	N4	[久|ひさ]しぶりに[実家|じっか]へ[帰|かえ]ったら、[庭|にわ]の[木|き]が[大|おお]きくなっていました。	Cuando volví a casa de mis padres después de mucho tiempo, el árbol del jardín había crecido.	久しぶりに indica un intervalo largo; 実家 es la casa familiar de origen.
