target	level	topic	ruby	spanish	note
迫る	N3	trabajo	[締|し]め[切|き]りが[迫|せま]っていますが、まだ[必要|ひつよう]な[資料|しりょう]が[届|とど]いていません。	Se acerca la fecha límite, pero todavía no ha llegado la documentación necesaria.	迫る expresa la proximidad inminente de un plazo.
リーダー	N4	ocio	チームのリーダーは、[初|はじ]めて[参加|さんか]した[人|ひと]にも[意見|いけん]を[求|もと]めました。	La persona que dirige el equipo también pidió su opinión a quienes participaban por primera vez.	リーダー es quien lidera un grupo.
認定	N3	trabajo	[経験|けいけん]だけでは[認定|にんてい]されず、[実技|じつぎ]の[試験|しけん]にも[合格|ごうかく]する[必要|ひつよう]があります。	La experiencia por sí sola no basta para obtener la acreditación; también hay que aprobar una prueba práctica.	認定される significa recibir reconocimiento o acreditación oficial.
各種	N3	servicios	[入口|いりぐち]の[棚|たな]に、[各種|かくしゅ]の[申請|しんせい][用紙|ようし]と[記入|きにゅう][例|れい]があります。	En la estantería de la entrada hay distintos tipos de formularios de solicitud y ejemplos de cómo rellenarlos.	各種 significa de diversos tipos.
株主	N3	trabajo	[会社|かいしゃ]の[株主|かぶぬし]には、[毎年|まいとし][事業|じぎょう]の[報告書|ほうこくしょ]が[送|おく]られます。	Cada año se envía un informe de actividad a los accionistas de la empresa.	株主 es el titular de acciones de una empresa.
刺激	N3	comida	この[香辛料|こうしんりょう]は[刺激|しげき]が[強|つよ]いので、[最初|さいしょ]は[少|すこ]しだけ[入|い]れてください。	Esta especia es muy fuerte, así que añade sólo un poco al principio.	刺激 se refiere aquí al efecto intenso de una especia en el paladar.
印刷	N4	tecnologia	[両面|りょうめん]に[印刷|いんさつ]したら、[裏|うら]の[文字|もじ]が[逆|さか]さまになってしまいました。	Al imprimir a doble cara, el texto del reverso quedó al revés.	両面に印刷する significa imprimir por las dos caras.
市町村	N3	servicios	ごみの[分|わ]け[方|かた]は[市町村|しちょうそん]によって[違|ちが]うので、[引|ひ]っ[越|こ]したら[確認|かくにん]してください。	La separación de residuos varía según el municipio, así que comprueba las normas cuando te mudes.	市町村 agrupa los distintos tipos de municipios japoneses.
バージョン	N3	tecnologia	[古|ふる]いバージョンで[保存|ほぞん]したファイルも、[新|あたら]しいソフトで[開|ひら]けました。	También pude abrir con el nuevo programa los archivos guardados con la versión antigua.	バージョン se refiere a una versión de un programa.
経る	N2	trabajo	[何度|なんど]もの[試作|しさく]を[経|へ]て、ようやく[持|も]ちやすい[形|かたち]になりました。	Tras pasar por numerosos prototipos, por fin conseguimos una forma cómoda de sujetar.	経る es pasar por etapas o experiencias antes de llegar a un resultado.
抵抗	N3	vida_diaria	[人前|ひとまえ]で[歌|うた]うことには、[今|いま]でも[少|すこ]し[抵抗|ていこう]があります。	Todavía me da un poco de reparo cantar delante de otras personas.	抵抗がある expresa reticencia o reparo psicológico.
重ねる	N3	vida_diaria	[濡|ぬ]れた[皿|さら]を[重|かさ]ねる[前|まえ]に、[一枚|いちまい]ずつ[拭|ふ]いてください。	Seca los platos mojados uno por uno antes de apilarlos.	重ねる es colocar unas cosas sobre otras.
幸い	N3	vida_diaria	[自転車|じてんしゃ]で[転|ころ]びましたが、[幸|さいわ]い[車|くるま]は[来|き]ていませんでした。	Me caí de la bicicleta, pero por suerte no venía ningún coche.	幸い introduce una circunstancia afortunada.
概要	N3	educacion	[授業|じゅぎょう]の[概要|がいよう]を[読|よ]んで、[自分|じぶん]に[必要|ひつよう]な[内容|ないよう]か[確|たし]かめました。	Leí la descripción general del curso para comprobar si el contenido era lo que necesitaba.	概要 es una presentación general, sin todos los detalles.
踏まえる	N2	trabajo	[利用者|りようしゃ]の[意見|いけん]を[踏|ふ]まえて、[案内|あんない]の[文章|ぶんしょう]を[書|か]き[直|なお]しました。	Reescribimos las instrucciones teniendo en cuenta las opiniones de los usuarios.	踏まえる es tomar algo como base para una decisión posterior.
帰宅	N3	vida_diaria	[帰宅|きたく]してすぐに[着替|きが]え、[犬|いぬ]の[散歩|さんぽ]に[出|で]ました。	Nada más llegar a casa me cambié de ropa y salí a pasear al perro.	帰宅する es regresar al propio domicilio.
筋	N3	vida_diaria	[足|あし]の[筋|すじ]が[張|は]っているので、[今日|きょう]のランニングは[休|やす]みます。	Hoy no voy a correr porque tengo tensos los músculos de las piernas.	筋が張る describe tensión en los músculos o tendones.
前半	N3	ocio	[映画|えいが]の[前半|ぜんはん]は[静|しず]かでしたが、[後半|こうはん]は[事件|じけん]が[続|つづ]きました。	La primera mitad de la película fue tranquila, pero en la segunda los incidentes se sucedían sin parar.	前半 y 後半 son la primera y la segunda mitad de un periodo.
必須	N3	trabajo	この[仕事|しごと]では[運転|うんてん][免許|めんきょ]は[必須|ひっす]ではありません。	El permiso de conducir no es imprescindible para este trabajo.	必須 significa indispensable u obligatorio.
流通	N2	compras	[収穫|しゅうかく]した[野菜|やさい]が[店|みせ]に[並|なら]ぶまでの[流通|りゅうつう]の[仕組|しく]みを[学|まな]びました。	Aprendí cómo funciona la distribución de las verduras desde que se cosechan hasta que llegan a las tiendas.	流通 se refiere a la circulación y distribución de mercancías.
原理	N3	educacion	[模型|もけい]を[動|うご]かすと、ポンプの[原理|げんり]がよくわかります。	Al poner en marcha la maqueta se entiende bien el principio de funcionamiento de la bomba.	原理 es el principio básico que explica un funcionamiento.
比	N3	comida	このソースは、しょうゆとみりんの[比|ひ]を[二対一|にたいいち]にします。	Para esta salsa se usa una proporción de dos partes de salsa de soja por una de mirin.	比 expresa una proporción entre cantidades.
詩	N3	cultura	[短|みじか]い[詩|し]なのに、[読|よ]むたびに[違|ちが]う[景色|けしき]が[浮|う]かびます。	Aunque es un poema corto, cada vez que lo leo me viene a la mente un paisaje diferente.	詩 es un poema; 読むたびに significa cada vez que se lee.
容易	N3	tecnologia	[壊|こわ]れた[部品|ぶひん]が[小|ちい]さすぎて、[交換|こうかん]は[容易|ようい]ではありません。	La pieza averiada es tan pequeña que sustituirla no resulta sencillo.	容易 es una forma formal de decir fácil.
魂	N3	cultura	この[物語|ものがたり]では、[木|き]にも[魂|たましい]が[宿|やど]ると[考|かんが]えられています。	En este relato se considera que también los árboles albergan un alma.	魂 significa alma; aquí pertenece al mundo del relato.
亡くなる	N3	vida_diaria	[祖父|そふ]が[亡|な]くなってから、[祖母|そぼ]は[私|わたし]たちと[暮|く]らしています。	Desde que murió mi abuelo, mi abuela vive con nosotros.	亡くなる es una manera respetuosa de hablar de la muerte de una persona.
興味深い	N3	educacion	[同|おな]じ[質問|しつもん]でも、[世代|せだい]によって[答|こた]えが[違|ちが]うのは[興味深|きょうみぶか]いです。	Es interesante que las respuestas a una misma pregunta varíen según la generación.	興味深い expresa que algo despierta interés o curiosidad.
伸びる	N3	vida_diaria	[窓際|まどぎわ]に[移|うつ]したら、[植物|しょくぶつ]の[茎|くき]が[急|きゅう]に[伸|の]びました。	Después de acercarla a la ventana, el tallo de la planta creció de repente.	伸びる describe el crecimiento en longitud.
ヒット	N3	cultura	その[歌|うた]がヒットしたのは、[発売|はつばい]から[半年|はんとし]もたってからでした。	Esa canción no se convirtió en un éxito hasta seis meses después de su lanzamiento.	ヒットする es alcanzar éxito popular.
モード	N3	tecnologia	[夜|よる]は[画面|がめん]を[暗|くら]いモードにすると、[周|まわ]りの[人|ひと]がまぶしくありません。	Si por la noche pones la pantalla en modo oscuro, no deslumbras a quienes están alrededor.	モード es un modo de funcionamiento.
振り返る	N3	trabajo	[今年|ことし]の[活動|かつどう]を[振|ふ]り[返|かえ]って、うまくいかなかった[点|てん]を[話|はな]し[合|あ]いました。	Repasamos las actividades de este año y hablamos de lo que no había salido bien.	振り返る se usa aquí en sentido figurado para revisar el pasado.
恐怖	N3	ocio	[暗|くら]い[洞窟|どうくつ]に[入|はい]るとき、[好奇心|こうきしん]より[恐怖|きょうふ]のほうが[強|つよ]くなりました。	Al entrar en la cueva oscura, el miedo pudo más que la curiosidad.	恐怖 expresa un miedo intenso.
思い出	N3	vida_diaria	この[傷|きず]のある[机|つくえ]には、[子供|こども]のころの[思|おも]い[出|で]がたくさんあります。	Este escritorio lleno de marcas guarda muchos recuerdos de mi infancia.	思い出 son recuerdos personales ligados a experiencias.
当日	N3	ocio	コンサートの[当日|とうじつ]は、[会場|かいじょう]で[券|けん]を[買|か]うこともできます。	El mismo día del concierto también se pueden comprar entradas en el recinto.	当日 es el día del acontecimiento mencionado.
割合	N3	comida	[粉|こな]と[水|みず]の[割合|わりあい]を[変|か]えると、[生地|きじ]の[柔|やわ]らかさも[変|か]わります。	Al cambiar la proporción de harina y agua, también cambia la blandura de la masa.	割合 indica la relación entre cantidades.
カラー	N3	servicios	[地図|ちず]の[線|せん]を[区別|くべつ]しやすいように、カラーでコピーしました。	Hice la fotocopia en color para que fuera más fácil distinguir las líneas del mapa.	カラーで significa en color, frente a blanco y negro.
