id_candidata,estado,nivel_revisado,japones,espanol,motivo,vocabulario_y_contextos_previos,ejemplo_mas_proximo
N5:2062,aceptada,N4,あら、スマホが壊れた。,"Vaya, se ha roto el móvil.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""壊れる"": 5}",スマホを使いすぎて目が疲れた。
N5:2063,descartada,N5,魚より肉のほうが安いです。,La carne es más barata que el pescado.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""安い"": 52, ""肉"": 7, ""魚"": 14}",魚より肉のほうが好きです。
N5:2064,descartada,N5,日本の祭りが好きだから、毎年見に行きます。,"Como me gustan los festivales japoneses, voy a verlos cada año.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""好き"": 57, ""毎年"": 4, ""祭り"": 70, ""行く"": 223, ""見る"": 158}",この祭りは有名ですから、見に行きます。
N5:2065,descartada,N5,買い物の前に牛乳を買います。,"Antes de ir de compras, compro leche.",Comprar leche antes de ir de compras resulta forzado sin contexto.,"{""前"": 118, ""牛乳"": 6, ""買い物"": 28, ""買う"": 121}",買い物の前にお金をおろします。
N5:2066,aceptada,N5,もう皿を洗いました。,Ya lavé los platos.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""もう"": 88, ""洗う"": 15, ""皿"": 3}",もうスマホを買いました。
N5:2067,descartada,N5,週に何回魚を食べますか。,¿Cuántas veces comes pescado a la semana?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""週"": 2, ""食べる"": 129}",何を食べますか。
N5:2068,aceptada,N4,店長にパンを二十個渡して、棚に並べました。,Le entregué veinte panes al encargado y los coloqué en la estantería.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""パン"": 28, ""並べる"": 0, ""店長"": 8, ""棚"": 3, ""渡す"": 2}",うちでパンを三つ食べました。
N5:2069,descartada,N5,どこにも行きません。,No voy a ninguna parte.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""どこ"": 22, ""行く"": 223}",週末はどこへも行きません。
N5:2070,descartada,N5,駅の近くにホテルがあるので便利です。,"Hay un hotel cerca de la estación, así que es conveniente.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ある"": 381, ""ホテル"": 15, ""便利"": 32, ""近く"": 12, ""駅"": 97}",駅の近くにホテルがあります。
N5:2071,aceptada,N4,毎朝ジョギングをします。,Hago jogging cada mañana.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""ジョギング"": 0, ""毎朝"": 26}",毎朝はよく病院で買い物をします
N5:2072,descartada,N5,私は日本語は好きですが、漢字がまだ難しいです。,"Me gusta el japonés, pero los kanji son todavía difíciles.",Lecturas desordenadas respecto del texto; vocabulario además muy repetido.,"{""まだ"": 85, ""好き"": 57, ""日本語"": 53, ""漢字"": 44, ""私"": 124, ""難しい"": 20}",ああ、日本の祭りは好きですが、忙しいので行けません。
N5:2073,descartada,N5,この書類を送りますか。,¿Vas a enviar este documento?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""この"": 796, ""書類"": 14, ""送る"": 20}",よくメールを送りますか。
N5:2074,descartada,N5,友だちにケーキをあげて、家へ帰ります。,Le doy un pastel a un amigo y vuelvo a casa.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""あげる"": 7, ""ケーキ"": 12, ""友だち"": 126, ""家"": 95, ""帰る"": 40}",友だちにメールを送ります。
N5:2075,descartada,N5,ここではゲームをしません。外で遊びます。,Aquí no jugamos a juegos; jugamos fuera.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ここ"": 108, ""する"": 871, ""ゲーム"": 41, ""外"": 6, ""遊ぶ"": 8}",ここではゲームをしません。
N5:2076,descartada,N5,春になると、山の花がきれいなので、写真を撮りたくなります。,"Cuando llega la primavera, como las flores de la montaña son bonitas, me entran ganas de hacer fotos.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""きれい"": 29, ""なる"": 125, ""写真"": 73, ""山"": 37, ""撮る"": 44, ""春"": 15, ""花"": 16}",春になると、花に注目が集まります。
N5:2077,descartada,N5,図書館は九時から五時までです。,La biblioteca abre de nueve a cinco.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""図書館"": 48}",図書館は八時半から十一時までです。
N5:2078,aceptada,N4,このスマホの画面はとても見やすいです。,La pantalla de este móvil es muy fácil de ver.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""とても"": 34, ""スマホ"": 51, ""画面"": 7, ""見やすい"": 1}",この駅は出口がとても見つけやすいです。
N5:2079,descartada,N5,お姉さんも大学生ですか。,¿Tu hermana mayor también es universitaria?,"Lectura incorrecta de お姉さん: おねえさん, no おあねさん.","{""大学生"": 0, ""姉さん"": 0}",田中さんですか。
N5:2080,descartada,N5,あとでお茶をいっしょに飲みませんか。,¿Te apetece tomar un té juntos más tarde?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""あと"": 23, ""いっしょ"": 31, ""お茶"": 16, ""飲む"": 48}",いっしょに働きませんか。
N5:2081,descartada,N5,猫はいません。,No hay gatos.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""いる"": 64, ""猫"": 7}",ここに猫はいません。
N5:2082,descartada,N5,この部屋は寒いから、窓を閉めます。,"Como esta habitación está fría, cierro la ventana.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""この"": 796, ""寒い"": 24, ""窓"": 31, ""部屋"": 65, ""閉める"": 13}",寒いから、窓を閉めます。
N5:2083,aceptada,N3,この魚は新鮮です。,Este pescado está fresco.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""新鮮"": 1, ""魚"": 14}",この機械は新しいですか。
N5:2084,descartada,N5,デパートで服を見て、靴も買いました。,Miré ropa en unos grandes almacenes y también compré zapatos.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""デパート"": 12, ""服"": 13, ""見る"": 158, ""買う"": 121, ""靴"": 26}",デパートで服を見たり、値段を比べたりして、安い靴も買いました。
N5:2085,descartada,N5,ここで降りてください。,"Bájese aquí, por favor.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ここ"": 108, ""降りる"": 7}",下りてください。
N5:2086,aceptada,N2,この展望台なら写真を撮ってもいいです。,En este mirador se pueden tomar fotos.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""写真"": 73, ""展望"": 0, ""撮る"": 44}",ここで写真を撮ってもいいです。
N5:2087,descartada,N5,ここでたばこを吸ってはいけません。,Aquí no se puede fumar.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ここ"": 108, ""たばこ"": 6, ""吸う"": 9}",ここでたばこを吸いません。
N5:2088,descartada,N5,仕事が忙しくて、今夜は勉強しない。,"Como tengo mucho trabajo, esta noche no estudio.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""今夜"": 15, ""仕事"": 133, ""勉強"": 111, ""忙しい"": 32}",毎日勉強すると宣言したが、仕事が忙しくて続かなかった。
N5:2089,descartada,N5,昨日森で働いた。,Ayer trabajé en el bosque.,"Lectura incorrecta de 昨日: きのう, no さくひ.","{""働く"": 46, ""昨日"": 40, ""森"": 42}",今日は森で働きます。
N5:2090,descartada,N5,友だちにまた会いたいです。,Quiero volver a ver a un amigo.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""また"": 9, ""会う"": 31, ""友だち"": 126}",友だちに会いたいです。
N5:2092,descartada,N5,今度、近くの森を一緒に散歩しませんか。,¿Te apetece dar un paseo juntos por el bosque cercano esta vez?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""一緒"": 26, ""今度"": 21, ""散歩"": 23, ""森"": 42, ""近く"": 12}",今度の祭り、一緒に見に行きませんか。
N5:2093,descartada,N5,タクシーよりバスのほうが安い。,El autobús es más barato que el taxi.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""タクシー"": 8, ""バス"": 87, ""安い"": 52}",電車よりバスのほうが安いです。
N5:2094,aceptada,N4,電池が切れたから、充電します。,"Como se ha agotado la batería, lo cargaré.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""充電"": 3, ""切れる"": 0, ""電池"": 5}",彼女が好きだから、毎日電話します。
N5:2095,descartada,N5,旅行の前に切符を買って、後で駅で会います。,"Antes del viaje, compro el billete y luego quedo con alguien en la estación.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""会う"": 31, ""切符"": 25, ""前"": 118, ""後で"": 5, ""旅行"": 82, ""買う"": 121, ""駅"": 97}",旅行の前に切符を買って、後で友だちに会います。
N5:2096,aceptada,N4,もうお祭りの踊りは始まっていますが、まだ太鼓は鳴っていません。,"Ya ha empezado el baile del festival, pero todavía no suena el tambor.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""まだ"": 85, ""もう"": 88, ""太鼓"": 4, ""始まる"": 13, ""祭り"": 70, ""踊り"": 21, ""鳴る"": 2}",もう財布はありますが、まだ買い物は終わっていません。
N5:2097,descartada,N5,毎日お茶を飲みますか。,¿Bebes té cada día?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""お茶"": 16, ""毎日"": 74, ""飲む"": 48}",お茶を飲みますか。
N5:2098,descartada,N5,家でケーキを三つ食べます。,Como tres pasteles en casa.,"Lectura de 三つ incorrecta: みっつ, no さんつ.","{""ケーキ"": 12, ""三つ"": 14, ""家"": 95, ""食べる"": 129}",うちでケーキを食べたいです。
N5:2099,descartada,N5,今夜は何を食べませんか。,¿Qué no vas a comer esta noche?,Pregunta negativa poco natural y confusión con la invitación ませんか.,"{""今夜"": 15, ""何"": 68, ""食べる"": 129}",今夜、寿司を食べませんか。
N5:2100,descartada,N5,駅の前にスーパーがあるので、帰りに買い物できます。,"Como hay un supermercado frente a la estación, puedo comprar al volver.",Variante de un contexto de compras ya suficientemente representado.,"{""ある"": 381, ""できる"": 81, ""スーパー"": 26, ""前"": 118, ""帰り"": 5, ""買い物"": 28, ""駅"": 97}",机の上にノートがあるので、そこで勉強します。
N5:2101,descartada,N5,バスで行きます。,Voy en autobús.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""バス"": 87, ""行く"": 223}",バスで行きません。
N5:2102,aceptada,N5,京都は寺が多いです。,Kioto tiene muchos templos.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""多い"": 24, ""寺"": 1}",京都は桜がきれいです。
N5:2103,descartada,N5,薬を飲んでいますか。,¿Estás tomando algún medicamento?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""薬"": 40, ""飲む"": 48}",薬を飲んでくださいませんか。
N5:2104,descartada,N5,毎朝バスに乗って図書館へ日本語を勉強しに行きます。,Cada mañana cojo el autobús y voy a la biblioteca a estudiar japonés.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""バス"": 87, ""乗る"": 24, ""勉強"": 111, ""図書館"": 48, ""日本語"": 53, ""毎朝"": 26, ""行く"": 223}",今日は図書館で日本語を勉強しますか。
N5:2105,descartada,N5,工場で働きません。,No trabajo en la fábrica.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""働く"": 46, ""工場"": 3}",会社で働きません。
N5:2106,descartada,N5,彼女と話すと元気になります。,"Cuando hablo con ella, me animo.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""なる"": 125, ""元気"": 10, ""彼女"": 67, ""話す"": 54}",彼女と会うと、元気になります。
N5:2107,descartada,N5,土曜日から日曜日まで友だちと映画を見ます。,Desde el sábado hasta el domingo veo películas con amigos.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""友だち"": 126, ""土曜日"": 8, ""日曜日"": 13, ""映画"": 78, ""見る"": 158}",土曜日から日曜日まで映画を見ます。
N4:2166,aceptada,N4,雨がやんだら、店から人が出てきた。,"Cuando dejó de llover, la gente salió de la tienda.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""やむ"": 2, ""人"": 73, ""出る"": 32, ""店"": 127, ""雨"": 46}",雨がふらないから、かさを持って行きません。
N4:2167,descartada,N4,健康につきましては、まだ問題ありません。,"En cuanto a la salud, todavía no hay problemas.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ある"": 381, ""つく"": 14, ""まだ"": 85, ""健康"": 22, ""問題"": 19}",運賃につきましては、変更ありません。
N4:2168,aceptada,N3,昨日は勉強しすぎて、夜まで頭がぼんやりしました。,Ayer estudié demasiado y hasta la noche tuve la cabeza embotada.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""ぼんやり"": 0, ""勉強"": 111, ""夜"": 14, ""昨日"": 40, ""頭"": 6}",昨日は電車で帰りました。
N4:2169,descartada,N4,雨ですから、行きませんか。,"Como llueve, ¿no vamos?",Invitación sin destino ni motivo coherente para ir por la lluvia.,"{""行く"": 223, ""雨"": 46}",電車で行きません。
N4:2170,descartada,N4,信頼を得るには時間がかかる。,Ganar confianza lleva tiempo.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""かかる"": 7, ""信頼"": 6, ""得る"": 8, ""時間"": 33}",この技術の推進には時間がかかります。
N4:2171,descartada,N4,一人で行ったわけではなく、家族とともに行きました。,"No fui solo, sino con mi familia.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""家族"": 31, ""行う"": 5, ""行く"": 223}",日曜日に家族と公園へ行きました。
N4:2172,aceptada,N4,森のなかは静かですが、暗くなると道が見えにくいです。,"Dentro del bosque está tranquilo, pero cuando se hace de noche se ve peor el camino.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""なる"": 125, ""暗い"": 4, ""見える"": 14, ""道"": 20, ""静か"": 47}",山は静かですが、風が強いです。
N4:2173,descartada,N4,ありがと、助かった。,"Gracias, me ha sido muy útil.",助かった expresa alivio/ayuda recibida; la traducción añade un referente útil no especificado.,"{""助かる"": 0}",ありがとう。
N4:2174,descartada,N4,まぁ、あとでもういちどみればいいよ。,"Bueno, luego puedes volver a mirarlo.",No se especifica qué se vuelve a mirar; aporta sobre todo variantes en kana de vocabulario ya presente.,"{""あと"": 23, ""いちど"": 0, ""みる"": 1, ""もう"": 88}",ありがと、でもそれはちがうよ。
N4:2176,descartada,N4,田中くん、あしたの発表でこの写真をみんなに見せてくれる？,"Tanaka-kun, ¿podrías enseñar esta foto a todos en la presentación de mañana?",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""あした"": 1, ""この"": 796, ""みんな"": 34, ""写真"": 73, ""発表"": 5, ""見せる"": 26}",写真を見せてください。
N4:2177,descartada,N4,いいえ、こわがるよ。,"No, le tiene miedo.",Negación aislada sin referente para el miedo.,"{""こわがる"": 0}",いいえ、電車のほうがはやい。
N4:2178,aceptada,N3,つい食べすぎたので、夕飯は軽めにします。,"Como me he pasado comiendo, cenaré algo ligero.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""つい"": 0, ""夕飯"": 5, ""軽"": 0, ""食べる"": 129}",安いので、この電車にします。
N4:2179,aceptada,N2,夕食のあと、家族で対戦ゲームをしました。,"Después de cenar, jugamos en familia a un juego competitivo.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""あと"": 23, ""する"": 871, ""ゲーム"": 41, ""夕食"": 12, ""家族"": 31, ""対戦"": 0}",仕事のあとで、ゲームをしたいです。
N4:2180,aceptada,N2,商品の記載がないので、店員に確認しました。,"Como no había información escrita del producto, le pregunté al dependiente.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""ない"": 34, ""商品"": 19, ""店員"": 27, ""確認"": 33, ""記載"": 0}",電気が消えたので再度確認しました。
N4:2181,descartada,N4,検事は電車で来ますか。,¿Viene el fiscal en tren?,Sustitución de un cargo profesional en una pregunta de transporte; aporta poco contexto para aprender 検事.,"{""来る"": 59, ""検事"": 0, ""電車"": 91}",電車は十分後に来ます。
N4:2182,aceptada,N4,旅行先で安い下着を一枚買いました。,En el lugar al que viajé compré una prenda de ropa interior barata.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""下着"": 0, ""安い"": 52, ""旅行"": 82, ""買う"": 121}",地図を一枚買いました。
N4:2183,descartada,N4,これは応用じゃなくて基本の運動です。,"Esto no es un ejercicio avanzado, sino un ejercicio básico.",応用 no equivale sin más a avanzado; contraposición traducida de manera imprecisa.,"{""これ"": 51, ""基本"": 2, ""応用"": 0, ""運動"": 12}",これは燃料じゃなくて水です。
N4:2184,descartada,N4,条件を全部比べたうえで、今はこの判断が妥当だと私は考えます。,"Tras comparar todas las condiciones, ahora creo que esta decisión es razonable.",Lecturas desordenadas: 今 aparece antes de 判断 y 妥当 en la frase.,"{""この"": 796, ""今"": 54, ""全部"": 5, ""判断"": 1, ""妥当"": 0, ""条件"": 4, ""比べる"": 4, ""私"": 124, ""考える"": 12}",このスマホは古いですが、まだ使えます。
N4:2185,descartada,N4,ウィリアムは今日も残業です。,William hace horas extra hoy también.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""今日"": 138, ""残業"": 25}",今日、残業かも？
N4:2186,aceptada,N4,母は主婦です。,Mi madre es ama de casa.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""主婦"": 0, ""母"": 40}",母は親切です。
N4:2187,aceptada,N2,どの大陸がいちばん広いですか。,¿Qué continente es el más grande?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""いちばん"": 2, ""どの"": 7, ""大陸"": 0, ""広い"": 8}",どれがいちばん安いですか。
N4:2188,aceptada,N3,山で花を見ていたら、きれいな蝶に気がつきました。,"Mientras miraba flores en la montaña, me fijé en una mariposa bonita.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""きれい"": 29, ""山"": 37, ""気がつく"": 0, ""花"": 16, ""蝶"": 0, ""見る"": 158}",春に山できれいな花を見たいです。
N4:2189,aceptada,N2,その問題はもう解消しました。,Ese problema ya se resolvió.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""その"": 117, ""もう"": 88, ""問題"": 19, ""解消"": 0}",バスはもう出発しました。
N4:2190,aceptada,N1,財務が苦手なので、決算書を見るのに時間がかかります。,"Como se me dan mal las finanzas, tardo en revisar los estados financieros.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""かかる"": 7, ""時間"": 33, ""決算"": 0, ""苦手"": 2, ""見る"": 158, ""財務"": 0}",この技術の推進には時間がかかります。
N4:2191,aceptada,N3,駅で昔の友だちにばったり出会いました。,Me encontré por casualidad con un amigo de antes en la estación.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""ばったり"": 0, ""出会う"": 0, ""友だち"": 126, ""昔"": 22, ""駅"": 97}",駅で偶然友だちに会いました。
N4:2192,aceptada,N3,この町は水が豊かで、昔から農業がさかんですし、祭りも多いです。,"Este pueblo tiene mucha agua, la agricultura es próspera desde hace tiempo y, además, hay muchas fiestas.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""さかん"": 0, ""多い"": 24, ""昔"": 22, ""水"": 36, ""町"": 54, ""祭り"": 70, ""豊か"": 0, ""農業"": 2}",この山はアクセスがいいですから、週末に人が多いです。
N4:2193,descartada,N4,宇宙は本当に神秘ですか。,¿De verdad el universo es un misterio?,宇宙は神秘です resulta poco natural como pregunta aislada.,"{""宇宙"": 1, ""本当に"": 8, ""神秘"": 0}",本当に馬鹿ですね。
N4:2194,aceptada,N2,今月の手当で洗濯機を買いました。,Compré una lavadora con el plus de este mes.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""今月"": 3, ""手当"": 1, ""洗濯"": 2, ""買う"": 121}",手紙を三通買いました。
N4:2195,aceptada,N2,料理ではなく、視線のほうが気になりました。,"No fue la comida, sino las miradas lo que me molestó.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""なる"": 125, ""料理"": 37, ""気"": 3, ""視線"": 0}",在庫はなくなりましたか？
N4:2196,aceptada,N2,練習ではうまくいっても、本番では緊張して失敗しました。,"Aunque en los ensayos salió bien, en la actuación me puse nervioso y fallé.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""いく"": 5, ""うまい"": 3, ""する"": 871, ""失敗"": 4, ""本番"": 0, ""緊張"": 2, ""練習"": 12}",その店には疑問がありますし、失敗もしました。
N4:2197,aceptada,N2,この路線では野生の鹿を見かけます。,En esta línea se ven ciervos salvajes.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""見かける"": 1, ""路線"": 3, ""野生"": 0, ""鹿"": 0}",この店では野菜を販売しています。
N4:2198,aceptada,N2,予約サイトへの移行が順調です。,La migración al sitio de reservas va bien.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""サイト"": 2, ""予約"": 15, ""移行"": 0, ""順調"": 2}",この片づけの進行は順調です。
N4:2199,aceptada,N3,足元が冷えていませんか。,¿No se le están enfriando los pies?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""冷える"": 0, ""足元"": 0}",めがねをかけていません。
N4:2200,descartada,N4,今日は図書館で参考書が読み放題なので、気になるところを何度も確認しました。,"Hoy, en la biblioteca, como podía leer los manuales cuanto quisiera, revisé varias veces los puntos que me preocupaban.",Contexto forzado de lectura ilimitada de manuales en biblioteca y traducción temporal imprecisa.,"{""する"": 871, ""なる"": 125, ""今日"": 138, ""参考"": 4, ""図書館"": 48, ""放題"": 0, ""気"": 3, ""確認"": 33, ""読む"": 71}",火曜日図書館で本を読みました
N4:2201,descartada,N4,まずは私の担当ではありません。,"Para empezar, no es mi responsabilidad.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ある"": 381, ""まずは"": 0, ""担当"": 5, ""私"": 124}",それは私の任務ではありません。
N4:2202,aceptada,N2,会員名簿を見たので、彼の名前はすぐ分かりました。,"Como vi el registro de socios, enseguida supe su nombre.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""すぐ"": 33, ""会員"": 6, ""分かる"": 50, ""名前"": 13, ""名簿"": 0, ""彼"": 64, ""見る"": 158}",警告を無視したので、旅行は中止になりました。
N4:2203,aceptada,N4,この曲はベースがよく聞こえます。,En esta canción se oye bien el bajo.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""よく"": 54, ""ベース"": 0, ""曲"": 0, ""聞こえる"": 6}",山は静かですから、ここで鳥の声がよく聞こえます。
N4:2204,aceptada,N4,山道が急だったので、私たちはゆっくり上りました。,"Como el sendero de la montaña era empinado, subimos despacio.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""ゆっくり"": 16, ""上る"": 0, ""山道"": 7, ""急"": 7, ""私"": 124}",通報が遅れたので、私たちは原因を自分で調べました。
N4:2205,aceptada,N2,貨物はいつ届きますか。,¿Cuándo llega la carga?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""いつ"": 2, ""届く"": 2, ""貨物"": 0}",バスはいつ戻りますか。
N4:2206,descartada,N4,今日はこのアプリのインタビューをします。,Hoy haré una entrevista sobre esta aplicación.,アプリのインタビュー es impreciso sin indicar sobre quién o acerca de qué se entrevista.,"{""この"": 796, ""する"": 871, ""アプリ"": 66, ""インタビュー"": 0, ""今日"": 138}",このアプリを使いますか。
N4:2207,aceptada,N2,いいえ、問題は値段ではなく性能です。,"No, el problema no es el precio, sino el rendimiento.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""値段"": 13, ""問題"": 19, ""性能"": 0}",いいえ、立つのは私ではなく彼です。
N4:2208,aceptada,N2,デザインはもうできていますが、仕上げには時間がかかります。,"Aunque el diseño ya está listo, el acabado final llevará tiempo.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""かかる"": 7, ""できる"": 81, ""もう"": 88, ""デザイン"": 3, ""仕上げ"": 0, ""時間"": 33}",この技術の推進には時間がかかります。
N4:2209,aceptada,N2,苦情が一件ありました。,Hubo una queja.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""ある"": 381, ""苦情"": 0}",事件はありましたか。
N4:2210,aceptada,N2,うちの同期もこのマンションに住んでいます。,Mi compañero de promoción también vive en este edificio.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""うち"": 37, ""この"": 796, ""マンション"": 0, ""住む"": 3, ""同期"": 0}",ラボは この地下に潜んでいます。
