Word_ID,Word,Reading,Meaning_EN,Concept_ID,Concept_Label,Concept_Members,Web_Rank,Web_Percentile,Dialogue_Count,Dialogue_Score,Dialogue_Evidence,Context_Families,Context_Dispersion,Register_Dispersion,Composite_Score,Composite_Rank,Composite_Percentile,Composite_JLPT
V00044,出る,でる,to exit/appear,lexeme.V00044,to exit/appear,出る,44,0.43,0,55.16,web_prior,Ocio y vida diaria|Conocimiento y consultas,50.15,59.83,58.2797,232,2.41,N5
V00045,時間,じかん,time,lexeme.V00045,time,時間,45,0.44,14006,82.84,direct,Ocio y vida diaria|Trabajo y carrera|Conocimiento y consultas,76.58,73.31,75.3928,21,0.21,N5
V00046,会,かい,meeting,lexeme.V00046,meeting,会,46,0.45,12626,81.94,direct,Conocimiento y consultas|Familia y amigos|Trabajo y carrera|Ocio y vida diaria|Dinero y proyectos,82.4,72.9,75.5024,20,0.2,N5
V00047,書く,かく,write,form.a1f7ad2f164c,write,書く|かく,47,0.46,0,55.46,web_prior,Trabajo y carrera,50.0,60.15,58.552,219,2.27,N5
V00048,円,えん,circle,form.6b4209864bcc,circle,円|圓,48,0.47,0,54.97,web_prior,Dinero y proyectos,10.0,59.62,54.0773,386,4.01,N5
V00049,二,に,two,lexeme.V00049,two,二,49,0.48,4083,72.14,direct,Conocimiento y consultas|Ocio y vida diaria|Dinero y proyectos,68.34,68.24,68.9005,51,0.52,N5
V00050,場合,ばあい,case,lexeme.V00050,case,場合,50,0.49,1901,65.51,direct,Conocimiento y consultas,50.0,64.97,63.5573,105,1.08,N5
V00051,持つ,もつ,to hold/have,lexeme.V00051,to hold/have,持つ,51,0.5,0,54.74,web_prior,,50.0,59.38,57.8625,240,2.49,N5
V00052,必要,ひつよう,necessary,lexeme.V00052,necessary,必要,52,0.51,16339,84.17,direct,Dinero y proyectos|Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera,78.73,73.51,76.0357,17,0.17,N5
V00053,情報,じょうほう,news,lexeme.V00053,news,情報,53,0.52,4773,73.5,direct,Trabajo y carrera,50.0,68.62,67.5857,59,0.6,N5
V00054,とき,とき,noun (time),lexeme.V00054,noun (time),とき,54,0.53,0,53.97,web_prior,Ocio y vida diaria|Dinero y proyectos|Trabajo y carrera,75.22,58.54,59.6363,185,1.92,N5
V00055,コメント,コメント,comment,lexeme.V00055,comment,コメント,55,0.54,0,53.96,web_prior,Ocio y vida diaria,50.0,58.52,57.1017,259,2.69,N5
V00056,化,か,transformation,lexeme.V00056,transformation,化,56,0.55,1515,63.55,direct,,50.0,63.48,62.1442,137,1.42,N5
V00057,上,うえ,above,lexeme.V00057,above,上,57,0.56,6696,76.44,direct,Conocimiento y consultas|Trabajo y carrera|Dinero y proyectos,76.87,69.54,71.4941,36,0.36,N5
V00058,事,こと,case,lexeme.V00058,case,事,58,0.57,33661,90.45,direct,Conocimiento y consultas,50.0,75.57,75.9799,18,0.18,N5
V00059,使う,つかう,to use,lexeme.V00059,to use,使う,59,0.58,0,53.65,web_prior,Conocimiento y consultas|Trabajo y carrera|Dinero y proyectos,73.27,58.19,59.1349,203,2.1,N5
V00060,行う,おこなう,conduct,lexeme.V00060,conduct,行う,60,0.59,0,53.62,web_prior,,50.0,58.16,56.7751,271,2.81,N5
V00061,話,はなし,story,form.2978b19bbf4c,story,話|はなし,61,0.6,31026,89.74,direct,Conocimiento y consultas|Familia y amigos|Trabajo y carrera|Ocio y vida diaria|Dinero y proyectos,85.13,75.18,79.0659,9,0.08,N5
V00062,くれる,くれる,Give,lexeme.V00062,Give,くれる,62,0.61,0,53.44,web_prior,,50.0,57.96,56.6043,281,2.92,N5
V00063,よい,よい,good,form.9bcb6346cd2d,good,よい|良い,63,0.62,0,58.97,web_prior,Ocio y vida diaria,50.0,63.96,61.9411,141,1.46,N5
V00064,本,ほん,Book,form.c77415e9f014,Book,本|ほん,64,0.63,3086,69.72,direct,Trabajo y carrera|Conocimiento y consultas|Ocio y vida diaria|Dinero y proyectos|Familia y amigos,89.85,66.16,69.118,48,0.49,N5
V00065,ここ,ここ,here,lexeme.V00065,here,ここ,65,0.64,0,53.0,web_prior,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Familia y amigos|Dinero y proyectos,93.29,57.49,60.5082,169,1.75,N5
V00066,分,ぶん,minute/part,lexeme.V00066,minute/part,分,66,0.65,8918,78.92,direct,Trabajo y carrera|Conocimiento y consultas|Dinero y proyectos,60.08,70.13,70.7348,38,0.39,N5
V00067,十,じゅう,ten,lexeme.V00067,ten,十,67,0.66,302,49.58,direct,Conocimiento y consultas|Trabajo y carrera|Dinero y proyectos,75.22,55.55,56.8357,268,2.78,N5
V00068,目,め,eye,form.5be9972c0267,eye,目|め|眼,68,0.67,9782,79.72,direct,Conocimiento y consultas|Trabajo y carrera|Ocio y vida diaria|Dinero y proyectos|Familia y amigos,91.95,71.17,74.8032,23,0.23,N5
V00069,多い,おおい,many,lexeme.V00069,many,多い,69,0.68,0,52.87,web_prior,Conocimiento y consultas|Ocio y vida diaria|Dinero y proyectos,66.91,57.35,57.7491,241,2.5,N5
V00070,知る,しる,to know,lexeme.V00070,to know,知る,70,0.69,37,31.56,direct,Conocimiento y consultas,50.0,44.28,44.4834,1277,13.29,N4
V00071,今日,きょう,today,form.ac9f35886c4b,today,今日|きょう,71,0.7,6361,75.99,direct,Conocimiento y consultas|Trabajo y carrera|Ocio y vida diaria|Dinero y proyectos|Familia y amigos,89.33,68.96,72.2473,31,0.31,N5
V00072,良い,よい,good,form.9bcb6346cd2d,good,よい|良い,72,0.71,0,58.97,web_prior,Ocio y vida diaria,50.0,63.96,61.9411,141,1.46,N5
V00073,関係,かんけい,relation,lexeme.V00073,relation,関係,73,0.72,5602,74.89,direct,Trabajo y carrera|Conocimiento y consultas,37.08,68.04,66.1595,75,0.77,N5
V00074,委員,いいん,committee member,lexeme.V00074,committee member,委員,74,0.73,503,53.99,direct,Familia y amigos|Dinero y proyectos,50.0,57.72,56.4631,285,2.96,N5
V00075,後,のち,after/behind,lexeme.V00075,after/behind,後,75,0.74,10734,80.53,direct,,50.0,70.48,70.3124,40,0.41,N5
V00076,かも,かも,Maybe,lexeme.V00076,Maybe,かも,76,0.75,0,52.39,web_prior,Ocio y vida diaria|Trabajo y carrera|Conocimiento y consultas|Familia y amigos,77.45,56.83,58.3353,228,2.36,N5
V00077,家,いえ,house,lexeme.V00077,house,家,77,0.76,13383,82.44,direct,Conocimiento y consultas|Ocio y vida diaria|Dinero y proyectos|Familia y amigos|Trabajo y carrera,71.64,71.23,73.4131,25,0.25,N5
V00078,そういう,そういう,That,lexeme.V00078,That,そういう,78,0.77,0,52.23,web_prior,Ocio y vida diaria,50.0,56.65,55.4378,329,3.42,N5
V00079,聞く,きく,to hear/ask,lexeme.V00079,to hear/ask,聞く,79,0.78,1,6.01,direct,Familia y amigos|Conocimiento y consultas|Trabajo y carrera,77.78,19.22,31.7847,4044,42.11,N3
V00080,世界,せかい,the world,lexeme.V00080,the world,世界,80,0.79,6865,76.65,direct,Conocimiento y consultas,50.0,68.56,68.1728,54,0.55,N5
V00081,気,き,spirit/mood,lexeme.V00081,spirit/mood,気,81,0.8,15793,83.88,direct,Conocimiento y consultas|Trabajo y carrera,50.0,71.72,71.8977,34,0.34,N5
V00082,点,てん,point,form.798bc209bb73,point,点|てん,82,0.81,1448,63.15,direct,Ocio y vida diaria|Trabajo y carrera,50.0,62.23,61.1507,154,1.59,N5
V00083,万,ばん,Ten thousand,lexeme.V00083,Ten thousand,万,83,0.82,4124,72.23,direct,Trabajo y carrera,50.0,66.45,65.8131,81,0.83,N5
V00084,もう,もう,already,lexeme.V00084,already,もう,84,0.83,0,51.89,web_prior,Ocio y vida diaria|Trabajo y carrera|Conocimiento y consultas|Familia y amigos|Dinero y proyectos,89.55,56.28,59.0602,205,2.12,N5
V00085,わかる,わかる,to understand,lexeme.V00085,to understand,わかる,85,0.84,0,51.88,web_prior,Ocio y vida diaria|Trabajo y carrera,50.0,56.28,55.1017,343,3.56,N5
V00086,バック,バック,back,lexeme.V00086,back,バック,86,0.85,0,51.85,web_prior,Ocio y vida diaria,50.0,56.24,55.0668,347,3.6,N5
V00087,社会,しゃかい,society,lexeme.V00087,society,社会,87,0.86,829,58.32,direct,Ocio y vida diaria|Conocimiento y consultas,34.14,59.62,56.8816,267,2.77,N5
V00088,読む,よむ,read,lexeme.V00088,read,読む,88,0.87,0,51.79,web_prior,Trabajo y carrera|Conocimiento y consultas|Dinero y proyectos|Ocio y vida diaria,85.54,56.18,58.5665,218,2.26,N5
V00089,入る,はいる,to enter,lexeme.V00089,to enter,入る,89,0.88,0,51.72,web_prior,Conocimiento y consultas|Ocio y vida diaria,50.0,56.1,54.9444,354,3.68,N5
V00090,来る,くる,to come,lexeme.V00090,to come,来る,90,0.89,6734,76.48,direct,Ocio y vida diaria,10.0,68.18,63.8813,103,1.06,N5
V00091,トラック,トラック,track,lexeme.V00091,track,トラック,91,0.9,0,51.55,web_prior,Conocimiento y consultas,50.0,55.92,54.7819,361,3.75,N5
V00092,仕事,しごと,work,work.job,trabajo / empleo,仕事|職業|職,92,0.91,11646,81.24,direct,Ocio y vida diaria|Trabajo y carrera|Familia y amigos|Dinero y proyectos|Conocimiento y consultas,56.62,71.07,71.5321,35,0.35,N5
V00093,同じ,おなじ,same,form.c05fd21c50c5,same,同じ|おなじ,93,0.92,8321,78.32,direct,Dinero y proyectos|Conocimiento y consultas|Familia y amigos|Ocio y vida diaria,87.94,68.88,72.5443,29,0.29,N5
V00094,数,かず,number,lexeme.V00094,number,数,94,0.93,4619,73.21,direct,,50.0,66.5,66.0393,78,0.8,N5
V00095,記事,きじ,article,lexeme.V00095,article,記事,95,0.94,712,57.0,direct,Trabajo y carrera|Ocio y vida diaria|Conocimiento y consultas,75.22,58.65,60.0758,175,1.81,N5
V00096,いただく,いただく,receive,form.e945e024ba65,receive,いただく|頂く|戴く,96,0.95,0,53.18,web_prior,Ocio y vida diaria,50.0,57.68,56.3532,290,3.01,N5
V00097,彼,かれ,he,lexeme.V00097,he,彼,97,0.96,0,51.06,web_prior,Conocimiento y consultas|Ocio y vida diaria,38.67,55.38,53.1736,429,4.46,N5
V00098,大,だい,large,lexeme.V00098,large,大,98,0.97,3007,69.49,direct,,50.0,64.6,63.9786,101,1.04,N5
V00099,国,くに,country,form.4fceea6d1659,country,国|國,99,0.98,2962,69.36,direct,Ocio y vida diaria|Conocimiento y consultas,50.0,64.72,64.036,99,1.02,N5
V00100,等,ひとし,etc.,lexeme.V00100,etc.,等,100,0.99,2457,67.74,direct,Trabajo y carrera,50.0,63.66,62.9799,116,1.2,N5
V00101,くださる,くださる,Give,form.ba2172a2e5e0,Give,くださる|下さる,101,1.0,0,53.94,web_prior,,50.0,58.5,57.0818,261,2.71,N5
V00102,回,かい,times,lexeme.V00102,times,回,102,1.01,4818,73.58,direct,Conocimiento y consultas|Trabajo y carrera|Familia y amigos|Dinero y proyectos,80.18,66.22,68.9439,50,0.51,N5
V00103,三,さん,three,form.6af9231f49e6,three,三|参,103,1.02,1827,65.17,direct,Conocimiento y consultas|Familia y amigos|Trabajo y carrera|Ocio y vida diaria|Dinero y proyectos,96.31,62.39,66.2361,71,0.73,N5
V00104,とか,とか,Or,lexeme.V00104,Or,とか,104,1.03,0,50.6,web_prior,Trabajo y carrera|Conocimiento y consultas,50.0,54.88,53.8573,392,4.07,N5
V00105,君,きみ,you (casual),lexeme.V00105,you (casual),君,105,1.04,0,50.54,web_prior,,50.0,54.82,53.8015,396,4.11,N5
V00106,法,ほう,law,form.9dea1ac89eda,law,法|ほう,106,1.05,0,53.93,web_prior,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos|Familia y amigos,86.54,58.49,60.7264,165,1.71,N5
V00107,意味,いみ,meaning,lexeme.V00107,meaning,意味,107,1.06,5446,74.64,direct,Trabajo y carrera,10.0,66.57,62.3825,131,1.35,N5
V00108,力,ちから,force,lexeme.V00108,force,力,108,1.07,5391,74.55,direct,,50.0,66.48,66.3052,69,0.71,N5
V00109,以上,いじょう,not less than,lexeme.V00109,not less than,以上,109,1.08,4527,73.04,direct,Ocio y vida diaria,50.0,65.8,65.5195,84,0.86,N5
V00110,会社,かいしゃ,company,lexeme.V00110,company,会社,110,1.09,2529,67.99,direct,Familia y amigos|Trabajo y carrera|Dinero y proyectos|Conocimiento y consultas,63.1,63.4,64.1474,97,1.0,N5
V00111,よる,よる,evening,lexeme.V00111,evening,よる,111,1.1,0,50.14,web_prior,Conocimiento y consultas|Trabajo y carrera|Ocio y vida diaria|Dinero y proyectos,72.35,54.38,55.6471,317,3.29,N5
V00112,そんな,そんな,Such,lexeme.V00112,Such,そんな,112,1.11,0,50.02,web_prior,Ocio y vida diaria,50.0,54.25,53.301,422,4.39,N5
V00113,人間,にんげん,human being,lexeme.V00113,human being,人間,113,1.12,6559,76.26,direct,Familia y amigos|Trabajo y carrera,50.0,66.97,67.0052,66,0.68,N5
V00114,現在,げんざい,now,lexeme.V00114,now,現在,114,1.13,1109,60.84,direct,Dinero y proyectos,50.0,59.71,58.9141,209,2.17,N5
V00115,作る,つくる,to make,lexeme.V00115,to make,作る,115,1.14,0,49.75,web_prior,Ocio y vida diaria,10.0,53.96,49.0395,748,7.78,N5
V00116,企業,きぎょう,enterprise,lexeme.V00116,enterprise,企業,116,1.15,469,53.38,direct,Trabajo y carrera,50.0,55.83,54.9161,356,3.7,N5
V00117,氏,し,Mr.,lexeme.V00117,Mr.,氏,117,1.16,0,49.63,web_prior,,50.0,53.84,52.9288,443,4.6,N5
V00118,ちょっと,ちょっと,a little bit,lexeme.V00118,a little bit,ちょっと,118,1.17,0,49.5,web_prior,Trabajo y carrera,50.0,53.69,52.7992,454,4.72,N5
V00119,間,ま,between,lexeme.V00119,between,間,119,1.18,4991,73.89,direct,Trabajo y carrera|Conocimiento y consultas|Familia y amigos|Ocio y vida diaria|Dinero y proyectos,86.31,65.58,69.1772,47,0.48,N5
V00120,可能,かのう,potential,lexeme.V00120,potential,可能,120,1.19,3774,71.46,direct,Dinero y proyectos,50.0,64.48,64.2831,95,0.98,N5
V00121,感じる,かんじる,feel,form.c23a8345e013,feel,感じる|かんじる,121,1.2,0,49.55,web_prior,,50.0,53.75,52.8518,449,4.67,N5
V00122,出す,だす,to put out,lexeme.V00122,to put out,出す,122,1.21,0,49.41,web_prior,,50.0,53.6,52.7157,460,4.78,N5
V00123,研究,けんきゅう,study,lexeme.V00123,study,研究,123,1.22,2003,65.97,direct,Conocimiento y consultas,50.0,61.92,61.4107,150,1.55,N5
V00124,投稿,とうこう,contribution,lexeme.V00124,contribution,投稿,124,1.23,127,42.1,direct,Conocimiento y consultas,50.0,49.42,48.7642,767,7.98,N5
V00125,他,た,others,lexeme.V00125,others,他,125,1.24,10387,80.24,direct,,50.0,68.22,68.7429,52,0.53,N5
V00126,アメリカ,アメリカ,America,lexeme.V00126,America,アメリカ,126,1.25,2422,67.61,direct,Ocio y vida diaria,50.0,62.6,62.207,136,1.41,N5
V00127,しれる,しれる,Know,form.e36bb1a9e9f5,Know,しれる|知れる,127,1.26,0,51.06,web_prior,,50.0,55.38,54.3049,374,3.89,N5
V00128,リンク,リンク,link,lexeme.V00128,link,リンク,128,1.27,0,49.14,web_prior,Ocio y vida diaria,50.0,53.3,52.4537,476,4.95,N5
V00129,今回,こんかい,now,lexeme.V00129,now,今回,129,1.28,1533,63.65,direct,Conocimiento y consultas,50.0,60.66,60.0837,174,1.8,N5
V00130,いたす,いたす,to,lexeme.V00130,to,いたす,130,1.29,0,49.06,web_prior,,50.0,53.21,52.3734,482,5.01,N5
V00131,高い,たかい,high/expensive,lexeme.V00131,high/expensive,高い,131,1.3,0,49.05,web_prior,Ocio y vida diaria|Conocimiento y consultas|Dinero y proyectos,77.66,53.2,55.13,341,3.54,N5
V00132,次,つぎ,Next,form.b5f076fd27b8,Next,次|つぎ,132,1.31,5195,74.23,direct,Ocio y vida diaria,10.0,65.52,61.58,149,1.54,N5
V00133,言葉,ことば,language,lexeme.V00133,language,言葉,133,1.32,3047,69.61,direct,Trabajo y carrera|Ocio y vida diaria|Conocimiento y consultas,77.78,63.25,65.8274,80,0.82,N5
V00134,こういう,こういう,Like this,lexeme.V00134,Like this,こういう,134,1.33,0,48.79,web_prior,,50.0,52.92,52.1165,500,5.2,N5
V00135,僕,ぼく,"I/me (male, casual)",lexeme.V00135,"I/me (male, casual)",僕,135,1.34,0,48.72,web_prior,,50.0,52.84,52.0434,504,5.24,N5
V00136,出来る,できる,possible,lexeme.V00136,possible,出来る,136,1.35,11,21.56,direct,,50.0,35.14,37.1517,2566,26.72,N4
V00137,受ける,うける,receive,lexeme.V00137,receive,受ける,137,1.36,0,48.67,web_prior,Trabajo y carrera,50.0,52.79,51.9967,508,5.28,N5
V00138,経済,けいざい,economics,lexeme.V00138,economics,経済,138,1.37,237,47.48,direct,Ocio y vida diaria,50.0,52.1,51.3313,565,5.88,N5
V00139,あなた,あなた,pronoun (you),lexeme.V00139,pronoun (you),あなた,139,1.38,61249,95.64,direct,Ocio y vida diaria,50.0,73.87,76.235,16,0.16,N5
V00140,手,て,hand,lexeme.V00140,hand,手,140,1.39,11258,80.94,direct,Ocio y vida diaria|Conocimiento y consultas|Trabajo y carrera|Familia y amigos,82.98,67.95,72.0304,33,0.33,N5
V00141,もらう,もらう,get,lexeme.V00141,get,もらう,141,1.4,0,48.49,web_prior,,50.0,52.59,51.8237,529,5.5,N5
V00142,そこ,そこ,There,lexeme.V00142,There,そこ,142,1.41,0,48.49,web_prior,Trabajo y carrera|Dinero y proyectos,50.0,52.59,51.8195,530,5.51,N5
V00143,最近,さいきん,most recent,lexeme.V00143,most recent,最近,143,1.42,1738,64.74,direct,Ocio y vida diaria|Familia y amigos|Conocimiento y consultas|Trabajo y carrera,85.54,60.73,63.89,102,1.05,N5
V00144,結果,けっか,result,lexeme.V00144,result,結果,144,1.43,2006,65.98,direct,Conocimiento y consultas|Familia y amigos|Ocio y vida diaria|Trabajo y carrera,88.79,61.31,64.8614,93,0.96,N5
V00145,買う,かう,buy,form.6d2622274e82,buy,買う|かう,145,1.44,0,49.17,web_prior,Conocimiento y consultas|Ocio y vida diaria,47.68,53.33,52.2448,491,5.1,N5
V00146,度,ど,degree,lexeme.V00146,degree,度,146,1.45,8526,78.53,direct,Trabajo y carrera|Ocio y vida diaria,47.68,66.87,67.2188,63,0.65,N5
V00147,違う,ちがう,different,form.e95d6f45cc86,different,違う|ちがう,147,1.46,0,48.65,web_prior,Ocio y vida diaria,50.0,52.76,51.9746,511,5.31,N5
